|character|text|type|character_clean|gender
825||Easy is scared and confused but he plays it off.|stage direction||
826|EASY|"So what do you want me to do about
it? You don't think I did my job.
Shit, I give you the money back."|speech|EASY|M
827||"And he reaches for his pocket, but Albright reaches too --
and suddenly, Manny and Shariff are in the room and on Easy
like a vice. Albright presses the barrel of the .45 against
Easy's forehead."|stage direction||
828|ALBRIGHT|"Do you believe in God, Easy?
'Cause I'm curious to see if death
is any different for a religious
man."|speech|ALBRIGHT|M
829||Easy looks down, away from the gun, and swallows hard.|stage direction||
830||"56.
60   CONTINUED:   (2)                                                60
EASY"|unknown||
831|ALBRIGHT|I seen her.|speech|ALBRIGHT|M
832||"After a moment, everyone relaxes and Easy sags out from
under their grip and staggers into"|stage direction||
833||61   THE LIVING ROOM                                                 61|unknown||
834||"Manny and Shariff surround him as he sits down in a chair
and Albright stalks in holstering his gun."|stage direction||
835||ALBRIGHT|unknown||
836|ALBRIGHT|Where?|speech|ALBRIGHT|M
837|EASY|"She called me. Had me drive up to
the Hollywood Hills."|speech|EASY|M
838|ALBRIGHT|How'd she know about you?|speech|ALBRIGHT|M
839|EASY|"I guess Coretta... the girl that
told me about Daphne and Frank
Green."|speech|EASY|M
840|ALBRIGHT|Why didn't you call me?|speech|ALBRIGHT|M
841|EASY|"I couldn't. She threatened to tell
the cops that I had killed
Coretta..."|speech|EASY|M
842||Albright looks over at his henchmen.|stage direction||
843||ALBRIGHT|unknown||
844|EASY|Where is she?|speech|EASY|M
845||EASY|unknown||
846|EASY|She took off.|speech|EASY|M
847||"ALBRIGHT
(dangerously)"|unknown||
848|EASY|Where is she?|speech|EASY|M
849|EASY|"I don't know! While I was looking
at the body she split."|speech|EASY|M
850||(nodding)|unknown||
851|ALBRIGHT|Uh-hunh.|speech|ALBRIGHT|M
852||"57.
61   CONTINUED:                                                       61"|unknown||
853||"Albright looks around the room as if answers lie in the
corners, but he is not surprised to hear about a body."|stage direction||
854|ALBRIGHT|You call the cops?|speech|ALBRIGHT|M
855|EASY|"I tried my best to keep in the
speed limit. That's all I did."|speech|EASY|M
856|ALBRIGHT|What'd she do, take his car?|speech|ALBRIGHT|M
857||EASY|unknown||
858|ALBRIGHT|Hunh?|speech|ALBRIGHT|M
859||ALBRIGHT|unknown||
860|ALBRIGHT|McGee.   Did she take his car?|speech|ALBRIGHT|M
861||"Easy hesitates, ""How did Albright know his name?"""|stage direction||
862||EASY|unknown||
863|ALBRIGHT|Uh... Yeah...|speech|ALBRIGHT|M
864|ALBRIGHT|Where'd you pick her up at?|speech|ALBRIGHT|M
865|EASY|She left that place--|speech|EASY|M
866|ALBRIGHT|--Write it down!|speech|ALBRIGHT|M
867||"To his shame Easy flinches and gets paper from his end
table, then scribbles down the address and hands it to
Albright who takes Easy's seat and examines the note."|stage direction||
