|character|text|type|character_clean|gender
1003|HARRY|Which was presumably the idea.|speech|HARRY|M
1004||(a beat)|location||
1005|HARRY|These are about Nix.|speech|HARRY|M
1006||Harry takes a sheaf of papers, and hands them to Billy.|stage direction||
1007|HARRY|You go through these.  Go on!|speech|HARRY|M
1008||"Reluctantly, Billy does so.  Harry picks up a faded
PHOTOGRAPH of the doorway to Nix's HOUSE (with the sigil
painted on it) and BUTTERFIELD the child standing in the sun.
There are other CULTISTS standing around.  And in the DOORWAY
-- a barely visible figure (and all the more intimidating for
that) - is NIX."|stage direction||
1009|HARRY|Wait a minute...|speech|HARRY|M
1010||"He stares at the boy's face.  The eyes are clearly different
colours."|stage direction||
1011|HARRY|That's Butterfield...|speech|HARRY|M
1012||(points to nan in)|location||
1013|BILLY|"doorway)
And who's that?"|speech|BILLY|M
1014||"ON HARRY, staring at the ambiguous presence.
ON THE PHOTOGRAPH of the shadowy figure."|stage direction||
1015|HARRY|At a guess?  The Puritan.  Nix.|speech|HARRY|M
1016||"Billy picks up an ETCHING, water-stained and dirty.  It shows
a horror we recognize:  a man's HAND pressed into the FLESH
of another man's HEAD."|stage direction||
1017|BILLY|Take a look at this.|speech|BILLY|M
1018||(looking at it)|location||
1019|HARRY|A Nix specialty?|speech|HARRY|M
1020||"Billy is getting subtly spooked now.  He puts the etching
down and starts to go through others in the series.  We
glimpse them as he does so.  In one, a MAN regurgitates a
serpentine form made of FLAME.  In another, a MAN stares at
his own HAND which is STRIPPED OF FLESH.  There is no bone
beneath.  Only a form of solid blackness.  In a third, we see
a HEAD with a slit in the middle of the brow, emanating
DARKNESS."|stage direction||
1021|BILLY|I don't know any of these tricks...|speech|BILLY|M
1022||Harry studies the etchings.|stage direction||
1023||(a slow burn)|location||
1024|HARRY|Maybe they're not tricks.|speech|HARRY|M
1025||(mystified)|location||
1026|BILLY|I mean, there's no instructions--|speech|BILLY|M
1027||(realizes what Harry said)|location||
1028|BILLY|"What do you mean, they're not
tricks?"|speech|BILLY|M
1029|HARRY|"What did Vinovich say? Something
about walking a path between --"|speech|HARRY|M
1030|BILLY|"Trickery and divinity.  Yeah, he
says that all the time."|speech|BILLY|M
1031|HARRY|"That's because he knew.  He'd seen
these files and knew."|speech|HARRY|M
1032|BILLY|Knew what?|speech|BILLY|M
1033||"Out of the corner of his eye. Harry sees a motion between the
book-stacks.  Billy frowns.  Harry puts his fingers to his
lips.  Gestures for Billy to take cover. Billy backs away.
Harry slowly turns in the direction of the motion.
Something eerily sepulchral is gliding between the stacks.  A
figure in a straight-jacket with his head bowed.
Harry takes out his gun.
Billy disappears around the back of one of the stacks. Harry
goes after the apparition.
The TRACK is completely silent.
Suddenly, the creature appears behind Billy!  It looks up,
its face that of a psychotic:  burning eyes, manic smile.
It tears open its straight-jacket and reaches for Billy, who
backs away."|stage direction||
1034|BILLY|Harry!|speech|BILLY|M
1035||"Books tumble on top of Billy as he stumbles against the
shelves."|stage direction||
1036|BILLY|Where the fuck are you?|speech|BILLY|M
1037||Harry appears, and puts his gun to the PSYCHO'S head.|stage direction||
1038|HARRY|Okay.  Hold it right there.|speech|HARRY|M
1039||"The gun goes through the Psycho's skull, as though it's made
of smoke.
Harry waves his hands through it.  It's completely ethereal.
But it's still terrorizing Billy."|stage direction||
1040||(in mortal terror)|location||
1041|BILLY|Get it off me!|speech|BILLY|M
1042||"Harry glances around.  Sees a LIGHT flickering between some
books.  FIRES at it.  The light goes out.  The ""Psycho""
vanishes.  Billy is left hyper-ventilating on the ground."|stage direction||
1043|HARRY|Hokey enough for you?|speech|HARRY|M
1044|BILLY|"I'm out of here, man!  Are you
coming?"|speech|BILLY|M
1045||Harry picks up a handful of papers from the Nix file.|stage direction||
1046|HARRY|I'm coming.|speech|HARRY|M
1047||"Billy is already out of the room.  For a moment. Harry pauses
to look back at the other files, sealed behind the spiked
gates.
As he does so --
-- the proiector sparks into life one last time, and the
""Psycho"" appears --ROARING - at Harry's shoulder."|stage direction||
1048|HARRY|Ah, shaddup!|speech|HARRY|M
1049||"He FIRES at the projector a second time.
On the GUN SHOT --"|stage direction||
1050||EXT. MAGIC CASTLE - NIGHT|location||
1051||Billy and Harry are parting.|stage direction||
1052|HARRY|Thanks, Billy.|speech|HARRY|M
1053|BILLY|Hey, anytime.|speech|BILLY|M
1054||(a beat)|location||
1055|BILLY|Actually, no.  This was enough.|speech|BILLY|M
1056||They shake, and part.|stage direction||
1057||EXT. SWANN'S MANSION - FRONT DOOR - NIGHT|location||
1058||Harry waits on the doorstep.  Valentin opens the door.|stage direction||
1059||(quietly)|location||
1060|VALENTIN|I can't let you in.|speech|VALENTIN|M
1061||(stepping in)|location||
1062|HARRY|Yeah, I know.|speech|HARRY|M
