|character|text|type|character_clean|gender|principal_character
462||You're not going to believe this.|stage direction|||
463||DANNY|unknown|||
464||Try me.|stage direction|||
465||RUSTY|unknown|||
466||We don't have line-of-sight.|stage direction|||
467||DANNY|unknown|||
468||What?|stage direction|||
469||RUSTY|unknown|||
470||"We tried everywhere. Some places
we're only three or four inches
off...but...there's no straight
shot. Even with Basher. It's
literally impossible."|stage direction|||
471||"Linus enters, out of breath. Seeing everyone, he goes to
Danny and Rusty.
LINUS"|unknown|||
472||Can I talk to you guys for a second?|stage direction|||
473||"They nod and allow Linus to pull them into the corner. Linus
looks over at the group and then turns to 'them.
LINUS"|unknown|||
474||"Listen, I've done a little research
on the Schuman Special, and uh...we
don't have line of sight for the
shot."|stage direction|||
475||DANNY|unknown|||
476||What?|stage direction|||
477||RUSTY|unknown|||
478||Jesus. This'll kill us.|stage direction|||
479||"DANNY
(to Linus)"|unknown|||
480||"Listen: Don't say anything. If
you're ever going to run your own
crew, you've got to remember to
never show weakness."|stage direction|||
481||RUSTY|unknown|||
482||"It's like blood in the water for
these guys."|stage direction|||
483||"(CONTINUED)
35.
53   CONTINUED: (2)                                           53
DANNY"|unknown|||
484||"If they think you're slipping, you
won't even see it coming."|stage direction|||
485||"Linus swallows.
RUSTY"|unknown|||
486||But hey--thanks.|stage direction|||
487||"Linus nods and goes back to the group.
RUSTY
(to Danny)"|unknown|||
488||I need some air.|stage direction|||
489||"54   EXT. CANAL -- DUSK                                      54
Rusty and Danny walk along the adjacent road.
DANNY"|unknown|||
490||The Swinging Priest?|stage direction|||
491||RUSTY|unknown|||
492||Not enough time.|stage direction|||
493||DANNY|unknown|||
494||Crazy Larry.|stage direction|||
495||RUSTY|unknown|||
496||Too many variables.|stage direction|||
497||DANNY|unknown|||
498||Robinov's Revenge?|stage direction|||
499||RUSTY|unknown|||
500||Too many obstacles.|stage direction|||
501||DANNY|unknown|||
502||The Soft Shoulder.|stage direction|||
503||RUSTY|unknown|||
504||Not enough people.|stage direction|||
505||DANNY|unknown|||
506||Baker's Dozen.|stage direction|||
507||RUSTY|unknown|||
508||We'd need a woman.|stage direction|||
509||DANNY|unknown|||
510||Hell in a Handbasket.|stage direction|||
511||"(CONTINUED)
36.
54   CONTINUED:                                                  54
RUSTY"|unknown|||
512||Can't train the cat that quickly.|stage direction|||
513||DANNY|unknown|||
514||"I can't have my wife watch me
hauled off in handcuffs again."|stage direction|||
515||RUSTY|unknown|||
516||It's always about you, isn't it?|stage direction|||
517||DANNY|unknown|||
518||"This like running toward a cliff.
Speaking of which, how's Isabel?"|stage direction|||
519||RUSTY|unknown|||
520||"I have no idea what you're talking
about."|stage direction|||
521||DANNY|unknown|||
522||You get the tattoo removed?|stage direction|||
523||RUSTY|unknown|||
524||"Given its location, my doctor
advised against it."|stage direction|||
525||"Rusty stops walking. Danny continues, then notices he is
alone. He turns back to Rusty.
DANNY"|unknown|||
526||What are you doing?|stage direction|||
527||RUSTY|unknown|||
528||We're here.|stage direction|||
529||DANNY|unknown|||
530||Oh.|stage direction|||
531||"As Danny and Rusty enter the hotel, Rusty trips on the steps.
DANNY"|unknown|||
532||Nice.|stage direction|||
533||"Rusty bends down to look at the step. He notices that one
tile on the edge of the stop has lost some mortar. He touches
the tile and watches the lip rise up and down, up and down,
as though it's cantilevered.
55   THE GROUP STARES INTO CAMERA                               55
SAUL"|unknown|||
534||You want to do what?|stage direction|||
535||"(CONTINUED)
37.
55   CONTINUED:                                      55
REVERSE to REVEAL Rusty and Danny.
RUSTY"|unknown|||
536||Tilt it. Raise it slightly.|stage direction|||
537||SAUL|unknown|||
538||The whole house?|stage direction|||
539||RUSTY|unknown|||
540||It's only a few inches.|stage direction|||
541||BASHER|unknown|||
542||Then I'll have line-of-sight.|stage direction|||
543||FRANK|unknown|||
544||We can't tilt a whole house.|stage direction|||
545||VIRGIL|unknown|||
546||"They did it with the Leaning Tower
of Pisa."|stage direction|||
547||Exactly.|stage direction|||
548||SAUL|unknown|||
549||"It took three hundred guys two
years to do that. You're crazy.
Nobody's ever done anything like
this."|stage direction|||
550||RUSTY|unknown|||
551||"Not true. Palowski did it in `64
in Venice and `73 in Istanbul."|stage direction|||
552||Really?|stage direction|||
553||LIVINGSTON|unknown|||
554||And he only had a crew of six.|stage direction|||
555||RUSTY|unknown|||
556||"There are thirty pylons. We cut
them, insert the jacks, and crank."|stage direction|||
557||BASHER|unknown|||
558||"For nineteen hours. Here's the
order in which they have to be
done."|stage direction|||
559||"38.
56   EXT. VANDERSPEIGLE'S HOUSE -- NIGHT                          56
It is pouring rain. From across the canal, we MOVE towards
Vanderspeigle's house, favoring a barge moored just out
front. Then, instead of moving over the barge, we PUSH
THROUGH its hull to--
57   INT. BARGE HULL                                              57
FIND Frank and Livingston inside manning a series of
industrial water pumps. They're grimy and covered in sweat.
Rain drips through the deck above them.
LIVINGSTON"|unknown|||
560||"So, Basher approached me about
being on a crew."|stage direction|||
561||FRANK|unknown|||
562||When?|stage direction|||
563||LIVINGSTON|unknown|||
564||Yesterday.|stage direction|||
565||"Frank thinks about that.
Yen pops his head out from a small tube and says something in
Chinese.
Frank shrugs...doesn't understand. Yen tries again.... This
time he enunciates very clearly and talks very loudly (like
Americans do when foreigners don't understand English).
Frank nods, starts turning the handle of the water pump in
the opposite direction. Yen climbs down out of the tube.
Then he climbs back up the tube. He picks up a jack in the
corner. Climbs back in the tube.
58   INT. UNDER VANDERSPEIGLE'S HOUSE - NIGHT                     58
We FOLLOW him as he climbs through the tube and emerges
underneath Vanderspeigle's house, inside its foundation.
The thirty pylons extend from the base of the house into the
into the swamp it sits atop of. There is little space
between the swamp level and the house.   Runoff from the rain
outside drips everywhere.
(CONTINUED)
39.
58   CONTINUED:                                                 58
FIND Danny and Rusty struggling to place a hand-cranked jack
into a freshly cut space in one of the timber pylons. They
are covered in muck and grime
RUSTY"|unknown|||
566||"The good news is, after the first
twelve hours, I stopped being able
to smell anything."|stage direction|||
567||DANNY|unknown|||
568||Took a few more for me.|stage direction|||
569||"This water was stagnant six hundred
years ago."|stage direction|||
570||"FIND the Malloys, thirty feet away, using a fancy underwater
saw to cut a space in another pylon. Because the cutting is
taking place underwater it is extremely quiet.
VIRGIL"|unknown|||
571||"There's no reason for him not to.
He would go to the cops."|stage direction|||
572||TURK|unknown|||
573||Okay, so he goes to the cops.|stage direction|||
574||VIRGIL|unknown|||
575||Then they arrest Dominique.|stage direction|||
576||TURK.|unknown|||
577||Right.|stage direction|||
578||VIRGIL|unknown|||
579||Then we have no story.|stage direction|||
580||TURK|unknown|||
581||Right.|stage direction|||
582||LINUS|unknown|||
583||"She steals the money from Mr.
Mulroney."|stage direction|||
584||"They turn to look at Linus, sawing nearby.
TURK"|unknown|||
585||What?|stage direction|||
586||VIRGIL|unknown|||
587||Why would she?|stage direction|||
588||"(CONTINUED)
40.
58   CONTINUED: (2)                                               58
LINUS"|unknown|||
589||To pay Franklin to keep quiet.|stage direction|||
590||"Turk and Virgil think about that. Linus keeps sawing.
TURK"|unknown|||
591||That's good.|stage direction|||
592||"59   INT. APARTMENT ACROSS FROM VANDERSPEIGLE'S HOUSE -- NIGHT   59
Basher and Saul sit in big cushiony chairs."|unknown|||
593||Counterfeiting? Me?|stage direction|||
594||(beat)|unknown|||
595||"I have to tell you, it's not
something I condone. It's cheating."|stage direction|||
596||BASHER|unknown|||
597||It is cheating.|stage direction|||
598||SAUL|unknown|||
599||There's no subtlety to it.|stage direction|||
600||BASHER|unknown|||
601||It's kind of embarrassing.|stage direction|||
602||SAUL|unknown|||
603||No one I know...|stage direction|||
604||BASHER|unknown|||
605||I can't imagine anything like that.|stage direction|||
606||"A long beat. Then each of them reach into their jackets and
produce $20 bills. They exchange and examine the bills
closely by eye. Satisfied, they trade them again and return
them to their coat pockets."|unknown|||
607||Not bad.|stage direction|||
608||Bolivia.|stage direction|||
609||SAUL|unknown|||
610||Diego's people?|stage direction|||
611||Yeah.|stage direction|||
612||"(CONTINUED)
41.
59   CONTINUED:                                                   59
SAUL"|unknown|||
613||Well. Congratulations.|stage direction|||
614||BASHER|unknown|||
615||I told him about you.|stage direction|||
616||SAUL|unknown|||
617||"I'm too old. That's dangerous. My
stuff is cheap compared to that.
It's just me and my gal, you know.
What you're talking about is
organized. But thanks, anyway."|stage direction|||
618||"60   INT. APARTMENT -- NIGHT                                     60
Frank sits watching TV. Livingston enters with groceries.
FRANK"|unknown|||
619||Jay Leno called.|stage direction|||
620||LIVINGSTON|unknown|||
621||"When are you gonna stop with that
tired ""white people can't be funny
stuff""? It's so old, Frank, really.
Do you want some orange juice? I
got the good kind."|stage direction|||
622||"Just then they are interrupted by Danny's voice on a walkie-
talkie.
DANNY (V.O.)"|unknown|||
623||Augie One, this is Condor.|stage direction|||
624||"61   UNDER VANDERSPEIGLE'S HOUSE                                 61
Rusty turns to Danny.
LIVINGSTON (V.O.)"|unknown|||
625||This is Augie One; Go Condor.|stage direction|||
626||"62   INT. APARTMENT -- NIGHT                                     62
DANNY (V.O.)"|unknown|||
627||"We're fully cranked here. Let's go
to phase two."|stage direction|||
628||"Livingston and Frank look at each other.
(CONTINUED)
42.
62   CONTINUED:                                                    62
FRANK"|unknown|||
629||Bring that orange juice.|stage direction|||
630||"63   EXT. ROOF -- NIGHT                                              63
Basher sets up his gear again. This time, when he raises the
crossbow to check his shot, HE CAN SEE THE KEYPAD. Just
barely.
He steadies himself. Saul knows that he's ready to take the
shot. He speaks into a walkie talkie.
SAUL"|unknown|||
631||This is Gatsby. We're green here.|stage direction|||
632||"Basher aims. The INSTANT he fires the shot we
CUT TO:
64   INT. EUROPOL HEADQUARTERS -- THE HAGUE -- DAY                   64
A MALE SECRETARY (HESS) rushes through Europol's
extraordinary Richard Meier-designed headquarters.
65   INT. AUDITORIUM -- DAY                                          65
Europol Agent ISABEL LAHIRI gives a presentation to seventy-
five of her colleagues. With her on stage are a couple of
seated HIGHER-UP TYPES. She's nervous.
ISABEL"|unknown|||
633||"Let's discuss, briefly and to
begin, with the category of
""thieves"", as distinguished from
the larger category of what might
be termed ""hardened"" criminals.
The highest level, ""master
thieves,"" if you will, is a very
small world. Between six and ten
high-level crews are operating in
Europe at any given time.
Worldwide, no more than twenty. The
most famous, Gaspar LeMarc, is
either dead or retired, and the
expectation is that no one will
replace him. The good news is the
trend is toward their extinction."|stage direction|||
634||"(CONTINUED)
43.
65   CONTINUED:                                                    65
The secretary enters the auditorium and walks toward the
podium.
ISABEL"|unknown|||
635||"For example: Anecdotal evidence
suggest these people are personally
insufferable."|stage direction|||
636||"The Higher-Ups look at each other; what did she just say?
ISABEL"|unknown|||
637||"Their egos demand constant praise,
and they embellish their exploits
to anyone who will listen. They
tell their own stories endlessly,
provided of course, they are
talking to a fellow thief or an
intimate."|stage direction|||
638||"Many in the audience are now looking to each other, wondering
if this is appropriate.
ISABEL"|unknown|||
639||"Those who interact with them on a
personal level are relegated to
positions of total servitude, with
no chance for growth or freedom.
Their lives are treated as
secondary. Many of them suffer from
depression. It's a crime for which
there is no law, and yet causes
untold damage."|stage direction|||
640||"One of the Higher-Ups convinces the other to say something,
but by now Hess the Male Secretary has reached Isabel and
interrupts her by whispering into her ear. She balances.
ISABEL (cont'd)
(amplified by the lectern
mic)"|unknown|||
641||WHAT?|stage direction|||
642||"66   INT. EUROPOL HEADQUARTERS -- LONG SHOT -- DAY                66
Isabel and Hess walk briskly through the ultra-modern
hallway. He briefs her as they walk in a hushed voice. Then
something he says stops her in her tracks.
Hess continues to explain something we can't hear. Then he
pulls out some PHOTOS. Isabel leafs through them.
(CONTINUED)
44.
66   CONTINUED:                                                  66
ISABEL"|unknown|||
643||That's impossible!|stage direction|||
644||"67   EXT. VANDERSPEIGLE HOUSE -- CRIME SCENE -- DAY             67
Isabel arrives and is greeted by PAUL, a lead detective
working the Vanderspeigle theft for the Amsterdam police
department.
PAUL"|unknown|||
645||"Thanks for coming. We can really
use your help on this one."|stage direction|||
646||"His partner looks over at Isabel, who is wearing a skirt and
pretty damn good shoes. The guy checks out her legs and looks
away.
ISABEL"|unknown|||
647||"I hope the scene hasn't been
contaminated."|stage direction|||
648||"Isabel walks away. Moments later, she enters the house with
the lead detective.
68   INT. VANDERSPEIGLE HOUSE - DAY                             68
As soon as she's inside she's all business.
ISABEL"|unknown|||
649||No forced entry.|stage direction|||
650||PAUL|unknown|||
651||Not that we can find.|stage direction|||
652||"69   UPSTAIRS -- VANDERSPEIGLE'S HOME OFFICE                    69
Isabel looks around Vanderspeigle's home office.   Behind a
fake bookcase is a small room which contains the safe. In
the other direction is Vanderspeigle's bedroom."|unknown|||
653||(nods)|unknown|||
654||"We can't figure out how they
disabled the alarm. We thought
maybe they tried to short it out
somehow."|stage direction|||
655||"(CONTINUED)
45.
69   CONTINUED:                                                 69
ISABEL"|unknown|||
656||"No, that would have triggered the
system."|stage direction|||
657||"Isabel goes to the alarm pad. Pulls the face plate off,
examines the inside.
ISABEL (cont'd)"|unknown|||
658||And damaged the circuits.|stage direction|||
659||PAM|unknown|||
660||"Well, then I don't know how they
got in."|stage direction|||
661||ISABEL|unknown|||
662||They had to have known the code.|stage direction|||
663||"She moves on to look in the mark's BEDROOM.
PAUL
(calls to her)"|unknown|||
664||"We considered that, but the mark
swears that nobody in the world
knew the code except him. He
programmed the last seven steps of
the system himself. He set it and
never left the house again. When he
dies, we'll probably have to
physically cut all the power lines
to the house to get it off line."|stage direction|||
665||"Isabel examines the computer brain of the alarm system which
was locked inside a titanium case in Vanderspeigle's bedroom
closet. She answers the detective almost as an afterthought.
ISABEL"|unknown|||
666||"There are other ways to get the
code."|stage direction|||
667||(to herself)|unknown|||
668||"Closed loop. Redundant servers.
Titanium encasement. Not bad."|stage direction|||
669||"The lead detective enters the bedroom.
PAUL"|unknown|||
670||Like what?|stage direction|||
671||"Again, Isabel is inside her own mind. She's really just
answering the detective's questions out of courtesy.
(CONTINUED)
46.
69   CONTINUED: (2)                                                69
ISABEL"|unknown|||
672||"Uh...well, they probably set up in
a house across the canal and
watched him type the code in
through a pair of binoculars."|stage direction|||
673||"We GO WITH HIM as he walks back into the office. He stands
at the alarm panel and pretends to type in the code. He
twists around and looks out the window behind him.
PAUL
(calling to Isabel in the
bedroom)"|unknown|||
674||Actually, I don't know about that.|stage direction|||
675||"Isabel re-enters the office.
PAUL (cont'd)"|unknown|||
676||"Unless he had a habit of typing in
the code like this--"|stage direction|||
677||"He stands to the side of the panel and reaches over to type
in the numbers. It's an obviously unnatural position. Then
he moves in front of the panel and types in the code as one
normally would.
PAUL (cont'd)"|unknown|||
678||"--then his body would block the
view from across the canal."|stage direction|||
679||ISABEL|unknown|||
680||"That's why they probably set up
over there--"|stage direction|||
681||"She points out an adjacent window on another wall.
ISABEL (cont'd)"|unknown|||
682||--And used the mirror.|stage direction|||
683||"She points at a small mirror on the opposite wall. The
detective bends down so his eye is at the level of the
keypad, then he looks in the mirror. He can see directly
across the canal into another house.
ISABEL (cont'd)"|unknown|||
684||"I'm guessing they'd need a fifteen
hundred millimeter lens to get a
clear shot but--"|stage direction|||
685||"But Isabel's already moved on. Something has caught her
attention just above the alarm panel: a patch of paint that
is shinier than the paint that surrounds it.
(CONTINUED)
47.
69   CONTINUED: (3)                                              69
Isabel puts her finger to her tongue to wet it, then touches
the shiny area. When she pulls her finger away there is
paint on it.
Isabel cocks her head.
70   MIND'S EYE (ISABEL) -- THE NIGHT BEFORE                    70
A black-clad thief (LINUS) uses a paint brush to touch up the
wall above the alarm keypad.
71   BACK TO SCENE -- THE CRIME SCENE                           71
The lead detective watches Isabel intently."|unknown|||
686|PAUL|What is it?|speech|PAUL|?|
687||"Isabel uses the blunt end of a letter opener from
Vanderspeigle's desk to gently dig at the wall under the
paint. The plaster there is soft and wet. In fact it isn't
plaster at all. It's spackle."|unknown|||
688|PAUL (cont'd)|What is that?|speech|PAUL|?|
689||"Isabel cooks her head again.
72   MIND'S EYE (ISABEL) -- THE NIGHT BEFORE                    72
THUNK!   A crossbow bolt hits the wall above the alarm panel.
73   BACK TO SCENE -- THE CRIME SCENE                           73"|unknown|||
690|ISABEL|It's where the crossbow bolt hit.|speech|ISABEL|F|True
691|PAUL|A crossbow bolt?|speech|PAUL|?|
692|ISABEL|Ever heard of Franz Schuman?|speech|ISABEL|F|True
693|PAUL|No.|speech|PAUL|?|
694||"(CONTINUED)
48.
73   CONTINUED:                                                    73
Isabel is at the window. The one that Vanderspeigle leaves
cracked open every night. Isabel looks across the canal at
the apartment where Basher and Saul were playing cards.
ISABEL"|unknown|||
695||"They would have fired from that
roof. Through this open window."|stage direction|||
696||"Isabel kneels down, checks the line-of-sight to make sure
she's correct."|unknown|||
697||"From that roof, through this
window? Nobody could make a shot
like that."|stage direction|||
698||ISABEL|unknown|||
699||Not a cop, anyway.|stage direction|||
700||PAUL|unknown|||
701||What's that supposed to mean?|stage direction|||
702||ISABEL|unknown|||
703||"Sorry. Your friend downstairs put
me in a bad mood."|stage direction|||
704||PAUL|unknown|||
705||"He's an idiot. You shouldn't let
him bother you."|stage direction|||
706||ISABEL|unknown|||
707||Yes. You're right.|stage direction|||
708||"Isabel pulls out a notepad and writes the name: ""Eugene
`Basher' Tarr."" There are two names above Basher's in her
little book: ""Robert Ryan"" and ""Danny Ocean.""
ISABEL (cont'd)"|unknown|||
709||"But these man are exceptionally
good. Even when they make mistakes."|stage direction|||
710||"74   MIND'S EYE (ISABEL) -- THE NIGHT BEFORE                      74
A bolt flies through Vanderspeigle's open window and hits the
wall above the alarm pad. Two thin wires are attached to a
tiny wheel, which is attached to the back of the bolt. The
wires run back to the window of the apartment across the
canal.
Inside that apartment: the wires end in another tiny wheel
which is mounted on a large tripod for stability.
(CONTINUED)
49.
74   CONTINUED:                                                      74
In effect the group now has a mini-clothesline running
between the alarm pad and the apartment across the canal.
Livingston attaches a device designed to fit directly over
the number pad of Vanderspeigle's keypad to the ""clothesline""
that runs across the canal.
75   BACK TO SCENE -- THE CRIME SCENE                               75
Isabel writes: ""Livingston Dell?"" Underneath Basher's name in
her notebook.
76   MIND'S EYE (ISABEL) -- THE NIGHT BEFORE                        76
Livingston's device is shuttled across the canal, through
Vanderspeigle's cracked window and right to the alarm panel.
Magnets on the side of the device cause it to snap into place
over the top of the keypad.   Livingston then types a six-
digit code into a remote keypad. His keypunches are mimicked
by the remote device. Vanderspeigle's alarm shuts off.
Downstairs: From inside we see the front door lock picked.
The door swings open.
77   BACK TO SCENE -- THE CRIME SCENE                               77
Isabel nods her head. There's a slight smile on her face.
The smile of admiration, respect in another's skills.
ISABEL
When did he get up and notice the
certificate was gone?
PAUL
The alarm woke him at 4:2O am.
ISABEL
But the alarm would have been--
She stops.    And smiles to herself.
ISABEL (cont'd)
Oh... Oh, I know what happened.
PAUL
What?
Isabel quickly glances around the room.       Her eye lands on the
floor near the false bookcase.
(CONTINUED)
50.
77   CONTINUED:                                                   77
On some dark lines in the crevices where the floor boards
meet.   She kneels down for a closer look.
ISABEL
There was someone else.
PAUL
Someone else.
78   MIND'S EYE (ISABEL) -- THE NIGHT BEFORE                     78
Danny and Rusty come through the front door. They are
followed by Linus. All of them are soaking wet from 24 hours
in the swamp under the house, and the last few minutes in the
pouring rain outside the front door. The group silently
slips up the stairs.
ISABEL (V.O.)
Oh, I wish I could've have seen
that.
79   INT. VANDERSPEIGLE OFFICE - NIGHT                           79
They enter Vanderspeigle's office. You can hear him snoring
in the other room. Danny and Rusty quickly, carefully remove
the crossbow bolt from the wall and take it to the window.
They drop it (and the attached wires) to the Malloys, who are
waiting on the street below.
Meanwhile Linus spackles the hole in the wall and paints over
the spackle.
Danny and Rusty turn to see that Linus is finished. They
hand-signal each other like Special Forces guys do, then move
towards the bookcase on the adjacent wall.
ISABEL (V.O.)
That must have really been
something.
Suddenly:
DANNY
Wait!   Wait! Shhhh!
Everyone freezes. Danny puts his hand up to his ear to try
to listen for the sound he thought he heard. We hear the
faint sound of somebody singing to themselves.
Danny and Rusty quickly realize it's coming from behind the
bookcase. What the hell?
(CONTINUED)
51.
79   CONTINUED:                                                      79
They yank open the false bookcase to reveal a handsome
Frenchman who has just finished cleaning out the contents of
Vanderspeigle's safe.
Danny and Rusty stare at him.   He turns around and sees
them, but if he's bothered in the slightest he sure isn't
showing it. Danny approaches him. This exchange is whispered
with a great amount of drama at very close range.
DINNER JACKET"|unknown|||
711||Can I help you?|stage direction|||
712||DANNY|unknown|||
713||Yeah. What the hell are you doing?|stage direction|||
714||DINNER JACKET|unknown|||
715||I am getting here first.|stage direction|||
716||"Just then, Frank and Yen arrive.    The Frenchman looks them
over.
RUSTY"|unknown|||
717||This is our score.|stage direction|||
718||DINNER JACKET|unknown|||
719||I am here before you.|stage direction|||
720||"FRANK
(joining)"|unknown|||
721||"We let you in the house! Somehow
you got in after we hit the code
but before we got to the door."|stage direction|||
722||DINNER JACKET|unknown|||
723||"That's thirty seconds. How could I
know which exact thirty seconds I
had? Unless I knew you plan. Could
I have known your plan? Do you have
a snitch in your group?"|stage direction|||
724||DANNY|unknown|||
725||No.|stage direction|||
726||RUSTY|unknown|||
727||We don't.|stage direction|||
728||DINNER JACKET|unknown|||
729||"Yes, I know you don't. Because I
saw, the whole thing from that
chair. I knew you were around,
but I had my own plan."|stage direction|||
730||"Yen says something in Chinese.
(CONTINUED)
52.
79   CONTINUED: (2)                                              79
DINNER JACKET"|unknown|||
731||There's really no need for that.|stage direction|||
732||"Danny wants to raise his voice, but he can't.   Vanderspeigle
is snoring twenty feet away.
DANNY"|unknown|||
733||"Listen, we have to come to some
arrangement."|stage direction|||
734||LINUS|unknown|||
735||"We've incurred some very serious
costs here."|stage direction|||
736||"Danny and Rusty look at him.
LINUS"|unknown|||
737||Well, we have.|stage direction|||
738||"The Malloys arrive.
DINNER JACKET"|unknown|||
739||"Every second I am becoming more
outnumbered."|stage direction|||
740||"VIRGIL
(whispering, re: Dinner
Jacket)"|unknown|||
741||Who's this?|stage direction|||
742||FRANK|unknown|||
743||He said he got here first.|stage direction|||
744||VIRGIL|unknown|||
745||That's bullshit.|stage direction|||
746||RUSTY|unknown|||
747||Hey. Mouth.|stage direction|||
748||VIRGIL|unknown|||
749||This is our goddamned job!|stage direction|||
750||"He sounds as angry as a guy who's whispering can sound.
LIVINGSTON"|unknown|||
751||If the situation were reversed--|stage direction|||
752||DINNER JACKET|unknown|||
753||"But the situation is not reversed.
The situation is that I am here
first, without any help from you."|stage direction|||
754||"(CONTINUED)
53.
79   CONTINUED: (3)                                                 79
Livingston arrives, soaking wet like everyone else.
DINNER JACKET"|unknown|||
755||So as much as I would--|stage direction|||
756||"Basher and Saul arrive.
DINNER JACKET"|unknown|||
757||Jesus, how many of you are there?|stage direction|||
758||DANNY|unknown|||
759||"Just give us the stock certificate.
Whatever else you took out of that
safe...it's yours."|stage direction|||
760||Dinner Jacket stops.   Thinks for a moment.   Then:|unknown|||
761||"No. But: I leave you with
something."|stage direction|||
762||"He hands Danny a business card.
DINNER JACKET"|unknown|||
763||"My attorney. In case Evelyn's
employer tries anything...well,
anything."|stage direction|||
764||"Dinner Jacket smiles, then pulls a tiny electronic device out
of his shirt pocket. He presses a button.
And the alarm blares to life.
80   BACK TO SCENE -- THE CRIME SCENE                              80
Paul stares at Isabel.
PAUL"|unknown|||
765||Are you sure?|stage direction|||
766||ISABEL|unknown|||
767||"I'm sure there's another scenario
that would fit these physical
details, but I don't know what it
is."|stage direction|||
768||PAUL|unknown|||
769||Where should we start?|stage direction|||
770||"Isabel takes out her PDA, writes something on her keypad, and
hits a few buttons. A second later, Paul's BEEPER goes off.
(CONTINUED)
54.
80   CONTINUED:                                               80
ISABEL"|unknown|||
771||"You can start by picking that guy
up."|stage direction|||
772||"81   INT. AMSTERDAM HOTEL SUITE -- DAY                       81
The group sits around looking depressed.
VIRGIL"|unknown|||
773||Who the hell was that guy?|stage direction|||
774||FRANK|unknown|||
775||"It's going to get out, you know.
People are going to find out."|stage direction|||
776||BASHER|unknown|||
777||"Somebody must know this bloke's
name."|stage direction|||
778||LIVINGSTON|unknown|||
779||"The question is who trained him. He
got into that place alone."|stage direction|||
780||He says.|stage direction|||
781||FRANK|unknown|||
782||I believed him.|stage direction|||
783||"SAUL
(unsettled)"|unknown|||
784||You think he's better than us?|stage direction|||
785||FRANK|unknown|||
786||"I'm not saying anything, but the
man was sitting there, waiting for
us."|stage direction|||
787||LINUS|unknown|||
788||"Do you think the cops even know who
this guys is?"|stage direction|||
789||RUSTY|unknown|||
790||"Please. That guy's never even seen
a cop."|stage direction|||
791||TURK|unknown|||
792||Maybe he works with the cops.|stage direction|||
793||"(CONTINUED)
55.
81   CONTINUED:                                                 81"|unknown|||
794||"You don't work with the cops unless
you absolutely have to. And not
even then."|stage direction|||
795||BASHER|unknown|||
796||Either way, he's got to have a name.|stage direction|||
797||LIVINGSTON|unknown|||
798||"It can't be that hard to find out
who this guy is. Like I said,
somebody trained him. Who trains
the best?"|stage direction|||
799||DANNY|unknown|||
800||LeMarc.|stage direction|||
801||(to Rusty)|unknown|||
802||Right?|stage direction|||
803||RUSTY|unknown|||
804||If he's not dead.|stage direction|||
805||LINUS|unknown|||
806||Who's LeMarc?|stage direction|||
807||"Stunned silence from the guys. They won't even respond.
Yen says something.
82   EXT. POLICE HEADQUARTERS -- DAY                           82
Isabel arrives.
83   INT. POLICE HEADQUARTERS -- DAY                           83
Isabel is waiting to be processed. Eventually, she is
directed down a hallway.
84   INT. INTERROGATION ANTEROOM -- DAY                        84
We LOOK through a one-way mirror into the interrogation room
where detectives Onderdonk and Devenpeck are trying the bad
cop / bad cop routine on Evelyn.
Isabel walks INTO FRAME and watches: Onderdonk slams his fist
on the table. Davenpeck shouts in Evelyn's face. Evelyn
just laughs.
(CONTINUED)
56.
84   CONTINUED:                                                    84
Isabel shakes her head.
Frustrated and more exhausted than their detainee, the two
detectives leave the interrogation room for the ante-room
where Isabel is.
ONDERDONK"|unknown|||
808||Fucking stone.|stage direction|||
809||DAVENPECK|unknown|||
810||I'm not quitting.|stage direction|||
811||ONDERDONK|unknown|||
812||Who said quitting. I'm tired.|stage direction|||
813||ISABEL|unknown|||
814||Can I speak to him?|stage direction|||
815||"The two detectives look at each other.
DAVENPECK"|unknown|||
816||Who are you?|stage direction|||
817||"Isabel produces a signed document. They look at it, shrug,
and give it back.
DAVENPECK"|unknown|||
818||"Apparently, you can do whatever you
want with him."|stage direction|||
819||ONDERDONK|unknown|||
820||Are you moving him?|stage direction|||
821||ISABEL|unknown|||
822||"Oh no. I just need to speak with
him. To get some information."|stage direction|||
823||DAVENPECK|unknown|||
824||We've been on him for six hours.|stage direction|||
825||ONDERDONK|unknown|||
826||With our best stuff.|stage direction|||
827||DAVENPECK|unknown|||
828||"Our best stuff. In mind terms,
we've been torturing this guy."|stage direction|||
829||ISABEL|unknown|||
830||"I'm sure. I only need a moment,
then I'll be out of your way."|stage direction|||
831||"(CONTINUED)
57.
84   CONTINUED: (2)                                                84
They shrug. Isabel goes into the room with Evelyn. We STAY
WITH Onderdonk and Davenpeck, who watch her through the two-
way mirror.
THROUGH THE MIRROR: Isabel walks right up to Evelyn, smiles,
and whispers one word to him/her.
Evelyn's face freezes. He/she looks at Isabel, scared. Then
he/she starts to weep. Uncontrollably.... Tears stream down
his/her face.
Isabel hands Evelyn a sheet of paper and he/she begins to
write.
Onderdonk and Davenpeck are dumbfounded.     Isabel turns
around so she's facing them.
85   INT. AMSTERDAM HOTEL SUITE -- NIGHT                          85
The entire group, minus Danny, sits around glumly watching
CNN International on the flat screen.
Danny is on his cell phone on the other side of the room.
DANNY (INTO PHONE)"|unknown|||
832||"It's not a problem, it's a hiccup.
It won't affect our schedule that
much. I want to talk about you, not
the job. How are you doing?"|stage direction|||
