|character|text|type|character_clean|gender|principal_character
1374|ITALIAN DETECTIVE|"I know the case, yes.
Unfortunately, we didn't catch him."|speech|ITALIAN DETECTIVE|?|
1375||ISABEL|unknown|||
1376|ITALIAN DETECTIVE|Oh...|speech|ITALIAN DETECTIVE|?|
1377||143   EXT. CAFE JUST OFF PIAZZA NAVONA - DAY (STILL FLASHBACK)     143|unknown|||
1378||"Isabel sits in the same seat the next day, reading the
newspaper, enjoying her vacation. She looks up and stops
cold.
Rusty, all cleaned up now, dressed in a perfectly-tailored
suit, sits down three tables away from her.
She stares at him. Can't believe it. The brazenness. The
audacity of this guy. Rusty doesn't seem to have a care in
the world as he chats easily with the waiter, in Italian.
Finally, Isabel just can't help herself.   She gets up and
walks over to Rusty's table."|location|||
1379|ISABEL|Excuse me...|speech|ISABEL|F|True
1380||RUSTY|unknown|||
1381|ISABEL|Yes.|speech|ISABEL|F|True
1382|ISABEL|"Um...Did I...? I think I saw
you...yesterday."|speech|ISABEL|F|True
1383||RUSTY|unknown|||
1384|ISABEL|Oh yeah?|speech|ISABEL|F|True
1385|ISABEL|The police were chasing you.|speech|ISABEL|F|True
1386|RUSTY|You sure your eyes aren't broken?|speech|RUSTY|M|True
1387|ISABEL|I'm quite sure it was you.|speech|ISABEL|F|True
1388|RUSTY|"Well, then I'm not gonna argue. Can
I buy you a coffee?"|speech|RUSTY|M|True
1389||"93.
144   EXT. CAFE JUST OFF PIAZZA NAVOLA -- DAY                   144"|unknown|||
1390||We transition back to the cafe. Isabel's phone rings.|location|||
1391||ISABEL|unknown|||
1392|RUSTY|Hello.|speech|RUSTY|M|True
1393|RUSTY|"We've got to stop meeting like
this."|speech|RUSTY|M|True
1394||She turns. He's sitting at the table behind her.|location|||
1395||145   EXT. CAFE JUST OFF PIAZZA NAVOLA -- DAY - LATER           145|unknown|||
1396||"Isabel and Rusty are being quiet for the moment.
The waiter's in the midst of an animated discussion in
Italian with one of the customers."|location|||
1397|ISABEL|"What are they talking about all the
time?!"|speech|ISABEL|F|True
1398||RUSTY|unknown|||
1399|ISABEL|Soccer.|speech|ISABEL|F|True
1400||(translating)|unknown|||
1401|ISABEL|"He doesn't like Naples....thinks
they're a bunch of...sissies."|speech|ISABEL|F|True
1402||(turns to Isabel)|unknown|||
1403|ISABEL|Can I ask you a question?|speech|ISABEL|F|True
1404||(off Isabel's nod)|unknown|||
1405|ISABEL|"Will you come to Zanzibar with me
on Friday?"|speech|ISABEL|F|True
1406||ISABEL|unknown|||
1407|ISABEL|Stop it.|speech|ISABEL|F|True
1408||146   INT. ROME WAREHOUSE -- DAY                                146|unknown|||
1409||"Danny sleeps, sitting up, in a chair as the rest of the group
tries to figure out how to defeat the security systems around
their mock-up egg.
The group breaks into applause startling Danny awake."|location|||
1410||LIVINGSTON|unknown|||
1411|ISABEL|We did it!     It works!|speech|ISABEL|F|True
1412||"(CONTINUED)
94.
146   CONTINUED:                                                 146"|unknown|||
1413|DANNY|What, what happened?|speech|DANNY|M|True
1414||147   INT. ORNATE HALLWAY -- DAY                                 147|unknown|||
1415||"TIGHT MEDIUM shot on uniformed National Police officer as he
strides down the hallway. His bearing is disciplined, stern,
formal. He is clearly handling a matter of utmost
importance. Tilt down to reveal he is carrying a tiny cup of
CAPPUCCINO."|location|||
1416||148   INT. ORNATE OFFICE OUTER OFFICE -- DAY                     148|unknown|||
1417||The National Police Officer blows through, passing Hess.|location|||
1418||149   INT. ORNATE OFFICE -- DAY                                  149|unknown|||
1419||"Isabel sits with Commander Andriotti. The office door swings
open and the National Police officer walks in. He places the
cappuccino on Andriotti's desk and leaves."|location|||
1420||150   INT. CAPTAIN GIORDANO'S OFFICE -- DAY                      150|unknown|||
1421||"Giordano sits with his feet up on his desk, smoking a cigar.
The door swings open and Isabel strides in, catching him
completely off guard. She thrusts a piece of paper in his
face."|location|||
1422|CAPTAIN GIORDANO|What's that?|speech|CAPTAIN GIORDANO|F|True
1423|ISABEL|"An order signed by Commander
Andriotti instructing you to
""provide any and all support that
Agent Lahiri requests, whenever she
requests it."""|speech|ISABEL|F|True
1424||He looks at it.|location|||
1425|CAPTAIN GIORDANO|It's good, yes. Okay.|speech|CAPTAIN GIORDANO|F|True
1426||He looks at her.|location|||
1427|CAPTAIN GIORDANO|"That's a very nice blouse you wear
today."|speech|CAPTAIN GIORDANO|F|True
1428||"95.
151   INT. MUSEUM --DAY                                        151"|unknown|||
1429||Linus and the Malloys walk through the museum.|location|||
1430|LINUS|"When Dominique goes back with
Thomas to check the trunk, the
money shouldn't be in the
briefcase. Franklin should have
double-crossed them."|speech|LINUS|M|True
1431|VIRGIL|"That could be a great moment, when
he's on the ground."|speech|VIRGIL|M|True
1432|TURK|"And you think Thomas is going to
get blown up."|speech|TURK|M|True
1433||VIRGIL|unknown|||
1434|TURK|Hey.|speech|TURK|M|True
1435||"They look. A large group of Security people are talking to
some NEW TECHNICIANS and ISABEL."|location|||
1436|ISABEL|"Another camera here and here. And
have a guard here at all times so
any attempt to disable the system
will be detected. All your IR
devices need to be fitted with
reflective faces otherwise a UV
later can be used to burn the
sensors out."|speech|ISABEL|F|True
1437||152   INT. ROME WAREHOUSE -- DAY                               152|unknown|||
1438||The guys look glum.|location|||
1439|LINUS|"She just walked in there like
Patton or something. She's
changing...everything and-- There
were so many cops with her. I've
never seen so--"|speech|LINUS|M|True
1440||Danny plats up his hand to stop him.|location|||
1441||"(CONTINUED)
96.
152   CONTINUED:                                                 152"|unknown|||
1442|LINUS|"I don't understand. If her father
was a thief...why's she such a
hardass? I mean you'd think she'd
have a little sympathy for us."|speech|LINUS|M|True
1443||RUSTY|unknown|||
1444|LINUS|"When she was twelve her mother told
her that her dad got arrested doing
a job in Russia and died in jail."|speech|LINUS|M|True
1445||(beat)|unknown|||
1446|LINUS|"So I wouldn't count on much
sympathy."|speech|LINUS|M|True
1447|BASHER|"""This time it's personal""."|speech|BASHER|F|True
1448||Danny looks to Rusty, who nods.|location|||
1449||153   EXT. MUSEUM OF MODERN ART -- DAY                           153|unknown|||
1450||"Fourteen police cars parked in front of it.
Isabel stands at a police checkpoint on the road in front of
the museum chatting with Captain Giordano, who's clearly
brown-nosing her big-time since receiving Andriotti's order.
Her phone rings. She looks at the number and answers it."|location|||
1451|ISABEL|What do you want?|speech|ISABEL|F|True
1452|RUSTY (V.O.)|Ever heard of overkill?|speech|RUSTY|M|True
1453|ISABEL|"I don't even think Toulour can get
it now."|speech|ISABEL|F|True
