|character|text|type|character_clean|gender
181|JAY|"Don't you worry about me, I've got a
few things to do. Enjoy."|speech|JAY|M
182|RAY|"Just remember, nothin in here's free.
C'mon, this place is nothin but fake
boobs and real assholes if ya ask me.
Just water for me."|speech|RAY|M
183|FRIENDS|Here's to you Chris.|speech|FRIENDS|M
184||They all down some drinks. They lead Chris down a corridor.|stage direction||
185|FRIEND|Don't say we never did nothin' for ya!|speech|FRIEND|M
186|FRIEND 2|"Don't worry, everybody's a lil scared
the first time. Get in there, sit back
and enjoy."|speech|FRIEND 2|?
187||"Chris' friends have led him to a stripping booth, his friend
inserts the money."|stage direction||
188|FRIEND 2|"If you're not back by morning we'll
send a search party for you."|speech|FRIEND 2|?
189|CHRIS|Bye! No drinking.|speech|CHRIS|M
190||"His friends leave, closing the door behind them.
A screen goes up and a striptease begins. The lady is dressed
in the style of a firewoman and has a pole in the center of the
stage. She dances around the pole and removes clothes."|stage direction||
191|STRIPPER|So you from here or just visiting.|speech|STRIPPER|?
192|CHRIS|Lil of both, I grew up here.|speech|CHRIS|M
193|STRIPPER|So you've seen all the old faces.|speech|STRIPPER|?
194|CHRIS|Could say that.|speech|CHRIS|M
195|STRIPPER|Your voice sounds very familiar.|speech|STRIPPER|?
196||The lights come on.|stage direction||
197|STRIPPER|Chris...|speech|STRIPPER|?
198|CHRIS|Deni..|speech|CHRIS|M
199||The screen goes down again, Chris leaves the booth.|stage direction||
200||INT. CASINO|location||
201|FRIEND 1|Look who's back.|speech|FRIEND 1|?
202|FRIEND 2|So, good surprise?|speech|FRIEND 2|?
203|FRIEND 1|"Told you it was better than gambling.
You met Candy? (A girl is dancing on
their table)"|speech|FRIEND 1|?
204|CHRIS|Hey Candy. (to the guys) Let's go.|speech|CHRIS|M
205||INT. CRAPS TABLE|location||
206|CROUPIER|6! Easy 6 for a win!|speech|CROUPIER|M
207|JIMMY|(To some girls) We can do a 6.|speech|JIMMY|M
208|JIMMY|"(To Chris) We're gettin killed out here.
I need you to put 200 down for the bet."|speech|JIMMY|M
209|CHRIS|No, hell no.|speech|CHRIS|M
210|FRIEND 3|Look at them (Nods to girls).|speech|FRIEND 3|?
211|CHRIS|Ok.|speech|CHRIS|M
212|CROUPIER|Five hundred on 6?|speech|CROUPIER|M
213|JIMMY|Yes, I'm in. Boom! Gimme some dice.|speech|JIMMY|M
214||Chris notices something odd, he looks concerned.|stage direction||
215|CROUPIER|Lookin' for a 6.|speech|CROUPIER|M
216|CHRIS|Jimmy. Don't roll. Gimme the dice.|speech|CHRIS|M
217|CROUPIER|Lookin' for a 6. Ohhhhh.|speech|CROUPIER|M
218||The dice have landed and it's a 7. Jimmy hangs his head.|stage direction||
219|CHRIS|"(To the croupier) You're good, but I
saw it."|speech|CHRIS|M
220|CROUPIER|Saw what?|speech|CROUPIER|M
221|CHRIS|I saw the switch.|speech|CHRIS|M
222|CROUPIER|Hey this is a clean game asshole.|speech|CROUPIER|M
223|CHRIS|Yea?|speech|CHRIS|M
224|CROUPIER|Yea.|speech|CROUPIER|M
225|CHRIS|Let's see about that.|speech|CHRIS|M
226||Chris puts a load of money on the table.|stage direction||
227|CHRIS|Bet you I'll roll a seven.|speech|CHRIS|M
228|CROUPIER|"It's not your roll sir. SIR! It's not
your roll. Call security."|speech|CROUPIER|M
229||Chris has taken the dice.|stage direction||
230|CHRIS|"Put your bets down on the pass line.
These dice are comin up seven."|speech|CHRIS|M
231|JIMMY|Chris, why don't we just let it go?|speech|JIMMY|M
232|CHRIS|"No, we gonna let it ride Jimmy. The
dice are comin up seven."|speech|CHRIS|M
233|CROUPIER|It's not your roll sir.|speech|CROUPIER|M
234||Chris rolls the dice and sure enough it's a seven.|stage direction||
235|COMMISSIONER|No folks, no payout.|speech|COMMISSIONER|?
236|CHRIS|"(To croupier) Why don't you just take
care of that bet and we're even."|speech|CHRIS|M
237|CROUPIER|"Well I would but it wasn't a legitimate
bet, you're not the shooter. It's not
your (Chris shoves him) ROLL sir."|speech|CROUPIER|M
238|SECURITY GUY|Is there a problem?|speech|SECURITY GUY|M
239|CHRIS|"Yea, the problem is your dice are loaded.
Does your boss know about this? Just
gimme my money."|speech|CHRIS|M
240||"The security guy grabs Chris around the neck. Chris elbows him
and throws him onto the table. The croupier takes a fighting
stance. Jimmy taps Chris on the shoulder."|stage direction||
241|JIMMY|Come on, let's go! let's go!|speech|JIMMY|M
242||"More security men appear, one of them knocks Jimmy out. A whole
fight breaks out, Ray gets knocked out. Chris beats off several
security men before taking an electric shock to the neck and
a baton to the face. Chris wakes up on a table under a light."|stage direction||
243|BAD GUY 1|"(Sees the tag around Chris' neck) Special
forces? I'll take that."|speech|BAD GUY 1|?
244||Chris grabs him by the neck but they beat him down again.|stage direction||
245|BAD GUY 2|What are you doin?|speech|BAD GUY 2|?
246|BAD GUY 1|"(Has a scalpel in his hand) Special
forces... special treatment."|speech|BAD GUY 1|?
247||He rips open Chris' shirt.|stage direction||
248|BAD GUY 2|This guy knows Hamilton!|speech|BAD GUY 2|?
249||A struggle ensues and Chris' chest is cut up.|stage direction||
250||EXT. A BRIDGE|location||
251||"We see Chris is crawling, badly hurt. A truck stops directly
in front of him. Chris passes out again."|stage direction||
252||INT. HOSPITAL|location||
253|DOCHRIS|"(To Chris' family) Folks, he's pretty
banged up, inside and out. Whoever did
this left him for dead. A lesser man
wouldn't have survived."|speech|DOCHRIS|?
254|SHERIFF WATKINS|"I'm gonna need a statement from him
Doctor."|speech|SHERIFF WATKINS|?
255|DOCHRIS|He's in no condition to give you one.|speech|DOCHRIS|?
256|SHERIFF WATKINS|"I'll also need a copy of your write-up
along with toxicoloy, blood alcohol
level and so on."|speech|SHERIFF WATKINS|?
257|MICHELLE|What are you talkin about Stan?|speech|MICHELLE|M
258|SHERIFF WATKINS|I'm just tryin to get some facts here.|speech|SHERIFF WATKINS|?
259|MICHELLE|"Oh come on you need to be out arresting
whoever tried to kill my brother not
testing his BLOOD."|speech|MICHELLE|M
260|SHERIFF WATKINS|"I'm just doing my job Michelle. Ok?
I understand how you feel. But we still
don't know yet who started all of this."|speech|SHERIFF WATKINS|?
261|CONNIE|Well it wasn't Chris.|speech|CONNIE|M
262|DAD|Just find out who did this to him Stan.|speech|DAD|M
263|SHERIFF WATKINS|"I'll do my best Mr Vaughn. I really
will. In the meantime I have to file
a full report. You lemme know when I
can talk to him."|speech|SHERIFF WATKINS|?
264||The doctor nods.|stage direction||
265|SHERIFF WATKINS|Thank you.|speech|SHERIFF WATKINS|?
266|DOCHRIS|He's gonna be fine Michelle.|speech|DOCHRIS|?
267|MICHELLE|Thanks.|speech|MICHELLE|M
268||INT. HOSPITAL WARD|location||
269||Ray goes into a room and takes a big bunch of flowers from there.|stage direction||
270|NURSE|BEAUTIFUL flowers!|speech|NURSE|?
271|RAY|Thank you, they're for my best friend.|speech|RAY|M
272||INT. CHRIS HOSPITAL BED|location||
273|RAY|"Hey sarge, so much for our VIP... status.
Don't they teach you any fighting skills
in the army."|speech|RAY|M
274|CHRIS|How did you do?|speech|CHRIS|M
275|RAY|"Not good. But I tell you, that guy was
feelin me this morning."|speech|RAY|M
276||Chris begins to laugh but is in pain.|stage direction||
277|RAY|You okay?|speech|RAY|M
278|CHRIS|Some homecoming hey.|speech|CHRIS|M
279|RAY|"I don't know if you've noticed but this
aint exactly home any more."|speech|RAY|M
280||EXT. FAMILY HOUSE|location||
281||"Chris has returned home. He's still in bad shape and his parents
help him out of the car. He insists on taking the steps by himself."|stage direction||
282|PETE|There's some old crutches in the garage.|speech|PETE|M
283||Chris laughs.|stage direction||
284||INT. LOUNGE|location||
285||"A montage ensues with Chris on the couch, sometimes with Ray,
other times with Pete. Chris is recovering, and is exercising
by the end of it."|stage direction||
286||INT. GARAGE|location||
287||"Chris pulls the cover off an old truck. He smiles and gets in.
He starts the engine."|stage direction||
288|DAD|Changed the plugs a while back.|speech|DAD|M
289|CHRIS|Appreciate that Dad.|speech|CHRIS|M
290|DAD|"I might've had serious issues with your
career choice but just didn't seem fair
to take it out on an innocent truck.
Where you headin?"|speech|DAD|M
291|CHRIS|"I was goin into town to get some supplies.
Wanna come?"|speech|CHRIS|M
292|DAD|Let's go.|speech|DAD|M
293||INT. CAR|location||
294|DAD|"Ya whole life, all you wanted to do
was get outta here. What made you come
back."|speech|DAD|M
295|CHRIS|"You gonna think I'm crazy. I been thinking
about the mill. When I was a kid goin
to visit you at work, the smell of that
fresh-cut cedar. You remember that smell."|speech|CHRIS|M
296|DAD|"Mmm I remember a lotta nice things before
the mill closed."|speech|DAD|M
297|CHRIS|"When did they go outta business? (Nods
to a closed supply store)."|speech|CHRIS|M
298|DAD|"Closed about six months ago. There's
a home depot about fifteen minutes up
the road."|speech|DAD|M
299|CHRIS|And that? (Nods to an adult XXX shop)|speech|CHRIS|M
300|DAD|Don't ask.|speech|DAD|M
301||They laugh.|stage direction||
302||EXT. OUTSIDE THE HOUSE|location||
303||Jay pulls up in his car.|stage direction||
304|JAY|Hey. First of all I wanna say thanks.|speech|JAY|M
305|CHRIS|For what?|speech|CHRIS|M
306|JAY|"He's been fired, and his gaming permit's
been pulled. I don't know how my security
cameras didn't catch that."|speech|JAY|M
307||"Jay starts to help Chris taking wood off the truck but Chris
throws it back on."|stage direction||
308|CHRIS|"They miss a lot at your place don't
they Jay."|speech|CHRIS|M
309|JAY|Look Chris I hate seein ya like this.|speech|JAY|M
310|CHRIS|Your boys did it.|speech|CHRIS|M
311|JAY|"Wait wait... so they got a little rough,
they were a bit edgy. Understandably.
You don't know what kind of assholes
they have to put up with on a daily
basis. Look, they've been reprimanded.
They say you went nuts man. I'm sorry.
I know the proper term vets use is post
traumatic stress."|speech|JAY|M
312|CHRIS|What the fuck are you talking about?|speech|CHRIS|M
313|JAY|"Whatever it was, you tore my place apart
and it wasn't easy for me to get my
guys agree not to press charges. Look
Chris, if you had a problem... shouldn't
you have come to me? Look, I wanna bring
you inside. Chris I wanna make you head
of security. Whaddya say?"|speech|JAY|M
314|CHRIS|No.|speech|CHRIS|M
315|JAY|"Ah well. I guess you probably need time
to think about it. This is for you.
It's a little something to help you
get... Y'know.."|speech|JAY|M
316||"He puts down an envelope with money in it. Chris gives it back
to him."|stage direction||
317|JAY|"Come on man, don't be like that. I came
all the way out here to your house just
to see you get back on your feet."|speech|JAY|M
318|CHRIS|I'm goin to the sheriff.|speech|CHRIS|M
319|JAY|"I'm sorry you feel that way. I'll see
ya round Chris."|speech|JAY|M
320||INT. POLICE STATION|location||
321|CHRIS|Excuse me.|speech|CHRIS|M
322||An officer is on the phone ignoring him.|stage direction||
323|CHRIS|Excuse me.|speech|CHRIS|M
324||The sheriff comes out.|stage direction||
325|SHERIFF WATKINS|"Well hey Chris. Good to see you up and
about, you're lookin spiffy."|speech|SHERIFF WATKINS|?
326|CHRIS|I'm here to press charges.|speech|CHRIS|M
327|SHERIFF WATKINS|"Well this isn't about that incident
at the casino a while back is it?"|speech|SHERIFF WATKINS|?
328|CHRIS|Yea, it is.|speech|CHRIS|M
329|SHERIFF WATKINS|Cause that matter's closed.|speech|SHERIFF WATKINS|?
330|CHRIS|Did you look into it?|speech|CHRIS|M
331|SHERIFF WATKINS|"They did an internal investigation.
That's good enough for me."|speech|SHERIFF WATKINS|?
332|CHRIS|An internal investigation.|speech|CHRIS|M
333|SHERIFF WATKINS|"Chris, I know you're familiar with the
term 'no fly zone'. Hmm? Cause that's
what the casino is. Since the mill closed
down that casino is the main source
of revenue in this town. So, case closed
basically. I'll see ya."|speech|SHERIFF WATKINS|?
334|CHRIS|I'm not gonna let this stand.|speech|CHRIS|M
335|SHERIFF WATKINS|Excuse me? What did you say to me?|speech|SHERIFF WATKINS|?
336|CHRIS|I said I'm not gonna let this stand.|speech|CHRIS|M
337|SHERIFF WATKINS|"You're lucky to be alive right now,
that's all you need to be concentrating
on. This is my town ok, I'm the sheriff
here. I'll tell you what will stand,
not the other way around. Now please
get out of my building."|speech|SHERIFF WATKINS|?
338||INT. FAMILY HOUSE|location||
339||Deni is at the door.|stage direction||
340|DENI|Hey.|speech|DENI|F
341|CHRIS|Hey.|speech|CHRIS|M
342|DENI|This belongs to you.|speech|DENI|F
343||She hands him a leather jacket.|stage direction||
344|CHRIS|"I appreciate that, I thought this was
history."|speech|CHRIS|M
345|DENI|Coulda left it in the trash but I...|speech|DENI|F
346|CONNIE|Deni? Nice to see you dear.|speech|CONNIE|M
347|DENI|Hi Mrs Vaughn.|speech|DENI|F
348|CHRIS|"Can I talk to you outside for a second.
Mom I'll be right back."|speech|CHRIS|M
349||EXT. OUTSIDE THE HOUSE|location||
350|DENI|How you been?|speech|DENI|F
351|CHRIS|Been better.|speech|CHRIS|M
352|DENI|Talked to the sheriff yet?|speech|DENI|F
353|CHRIS|"Well I went down to the police station
and I talked to somebody with a badge.
Sure as hell didn't seem like much of
a sheriff."|speech|CHRIS|M
354|DENI|"He's up for re-election you know. Maybe
you could take his job."|speech|DENI|F
355|CHRIS|Somebody ought to. How about you?|speech|CHRIS|M
356|DENI|"Sunshine and pine trees. Been readin
these books, teach you how to cultivate
happiness. Books on the future, go with
the flow, that sorta thing."|speech|DENI|F
357|CHRIS|Is it workin?|speech|CHRIS|M
358|DENI|I have my moments.|speech|DENI|F
359|CHRIS|So the casino huh?|speech|CHRIS|M
360|DENI|Yep. Been there almost a year.|speech|DENI|F
361|CHRIS|Treatin you good?|speech|CHRIS|M
362|DENI|Lot better than it treated you.|speech|DENI|F
363|CHRIS|"I like that. Jay Hamilton's done well
for himself hasn't he."|speech|CHRIS|M
364|DENI|Yea, he's a real go-getter that one.|speech|DENI|F
365|CHRIS|Must be. I heard he got you.|speech|CHRIS|M
366|DENI|"Lasted about 8 minutes, a long long
time ago."|speech|DENI|F
367|CHRIS|You still work for him though.|speech|CHRIS|M
368|DENI|Rent's gotta be paid Chris.|speech|DENI|F
369|CHRIS|Suppose so.|speech|CHRIS|M
370|DENI|Hope to see you around.|speech|DENI|F
371|CHRIS|Do you?|speech|CHRIS|M
