|character|text|type|character_clean|gender
136|CUT TO:|"Doug enters his bedroom and shuts the door behind him.
He sits down on the bed and lets out a long sigh.
""Wild Hogs"" writers first draft 7/06/05 14.
After a moment, he gets up and walks over to the closet.
He opens it and we see: A leather biker jacket, leather
chaps, boots, gloves, a black ""half-helmet,"" etc. For
the first time, we see a genuine smile come over Doug's
face.
MUSIC CUE: IGGY POP'S ""REAL WILD ONE (WILD CHILD)"""|speech|CUT TO:|?
137||EXT. DOUG'S DRIVEWAY - A FEW MINUTES LATER|location||
138|CUT TO:|"The garage door on Doug's house rolls open like a theater
curtain, and Doug, wearing the full leather biker getup,
idles out of the garage on a gleaming, chromed-out Harley
Davidson Fatboy. He looks around the neighborhood
cockily, smiles, then kicks the bike into gear and rides
into the street. The camera rotates around him and comes
to rest on the back of his jacket, where we see a large
patch that reads ""Wild Hogs."" The camera ZOOMS IN ON
THIS, and it becomes:"|speech|CUT TO:|?
139|TITLE CARD|MUSIC CUE CONTINUES OVER FOLLOWING SCENES:|speech|TITLE CARD|?
140||EXT. BOB LEVENSTEIN'S HOUSE - SAME TIME|location||
141|TITLE CARD|"BOB creeps through the living room. From the kitchen, we
can hear KAREN, HALEY and CLAIRE screaming things at him,
about him, etc. He just tip-toes to the hall closet and
opens the door. We don't see what's in it, but see Bob
smile the same way Doug did, and...
SMASH CUT TO:"|speech|TITLE CARD|?
142||EXT. BOB'S DRIVEWAY - A MINUTE LATER|location||
143|TITLE CARD|"BOB, in leather biker gear, rolls out of his garage on
another shimmering Harley Davidson. He looks around
through his mirrored aviator sunglasses like a complete
bad ass. He looks down the street and spots DOUG, riding
towards him. Bob rides down the driveway and joins
alongside Doug. They nod silently to each other and tap
fists like the toughest guys in the world. We see Bob is
also wearing a ""Wild Hogs"" jacket."|speech|TITLE CARD|?
144||EXT. WOODY'S HOUSE - SAME TIME|location||
145|TITLE CARD|"WOODY walks through the courtyard, and into a pristine
garage.
""Wild Hogs"" writers first draft 7/06/05 15.
He passes by a BMW 645, several stacks of labelled moving
boxes, and finally a beautiful Harley Davidson Softail
Anniversary Edition.
A MINUTE LATER, Woody pulls onto the street on his
Harley. DOUG and BOB turn the corner and nod to him.
Woody nods back, revs his engine, and joins alongside
them."|speech|TITLE CARD|?
146||EXT. DUDLEY'S COMPUTER-CLUTTERED GARAGE - SAME TIME|location||
