|character|text|type
120|MAX (CONT'D)|"Just overnight is all. Tomorrow I'll
get you out, I promise. But it means
I gotta pick you up tonight."|speech
121||"Ordell motion to the chair in front of Max's desk. Max
motions for Ordell to take a seat."|stage direction
122||(on phone)|location
123|MAX (CONT'D)|"Reggie, there ain't no two ways about
it. You're spending the night in
jail, but I already told you I'll get
you out tomorrow. Now where are you?"|speech
124||(pause)|location
125|MAX (CONT'D)|"You're at your mother's house, aren't
you?"|speech
126||"Ordell lights up a cigarette. (Viceroy).
He notices a picture on the wall of Max with his arm
around a big, powerfully built black man. They're both
grinning.
Louis pours himself some coffee from a coffeemaker into a
small, white styrofoam cup. He picks up a jar of powdered
non-dairy creamer that's so dry he has to break off a
rock. Louis adds the rock of coffeemate to his beverage."|stage direction
127||(on phone)|location
128|MAX (CONT'D)|"Okay. Just stay put till I come for
you."|speech
129||(pause)|location
130|MAX (CONT'D)|"Reggie, do yourself a really big
favor and be there when I get there."|speech
131||"He hangs up the phone.
Ordell sits in front of the desk, smiling at him and
smoking."|stage direction
132|MAX (CONT'D)|How can I help you?|speech
133||(indicating the Viceroy)|location
134|ORDELL|"Where would you like me to put my
ash?"|speech
135||Max looks at him for a moment.|stage direction
136|MAX|Use that coffee cup on the desk.|speech
137||"Ordell picks up the coffee cup, which still has a little
bit of coffee in it, and flicks his ash."|stage direction
138|ORDELL|"And I need me a bond for ten
thousand."|speech
139||Max throws a look past Ordell to Louis.|stage direction
140|ORDELL (CONT'D)|"Oh, that's just my white friend,
Louis. He's got nothing to do with my
business. We just hangin together.
We're on our way to a cocktail
lounge."|speech
141||"From across the room, Louis nods his head in Max's
direction.
Max looks at him a moment, then back to Ordell."|stage direction
142||(returning to the photo)|location
143|ORDELL (CONT'D)|"Who's that big Mandingo nigga you
gotcha arm around?"|speech
144||Max looks at him a moment and says;|stage direction
145|MAX|That's Winston. He works here.|speech
146|ORDELL|He's a big one. You two tight?|speech
147|MAX|Yeah.|speech
148|ORDELL|"It was our idea to take the picture,
wasn't it?"|speech
149||Max looks at Ordell, getting his drift, then says;|stage direction
150|MAX|"So, you want a ten-thousand dollar
bond. What've you got for collateral?"|speech
151|ORDELL|Gonna have to put up cash.|speech
152|MAX|You have it with you?|speech
153||"Ordell picks up his Lakers bag and puts it in the empty
chair next to him."|stage direction
154|ORDELL|It's in my bag.|speech
155|MAX|"You have cash. What do you need me
for?"|speech
156|ORDELL|"C'mon, you know how they do. Black
man comes in with ten thousand, they
wanna fuck with 'em. First off, they
gonna wanna know where I got it.
Second, they gonna keep a big chunk
of it - start talkin' that court cost
shit. Fuck that shit, Jack. I'll go
through you."|speech
157|MAX|Cost you a thousand for the bond.|speech
158|ORDELL|I know that.|speech
159||"Louis just stands, feeling uncomfortable, in the other
room drinking coffee."|stage direction
160|MAX|Who's it for? A relative?|speech
161|ORDELL|"Fella named Beaumont. They have him
up at county. It started out drunk
driving, but they wrote it up
""possession of a concealed weapon.""
Dumb monkey-ass had a pistol on him."|speech
162|MAX|Ten thousand sounds high.|speech
163|ORDELL|"They ran his name and got a hit. He's
been in before. Besides, Beaumont's
from Kentucky, and I think they're
prejudiced against black men from the
South out here."|speech
164|MAX|"He takes off and I gotta go to
Kentucky to bring him back, you pay
the expenses."|speech
165|ORDELL|You think you could do that?|speech
166||Max taking papers out of the drawer...|stage direction
167|MAX|I've done it.|speech
168||... picking up the pen...|stage direction
169|MAX (CONT'D)|What's his full name?|speech
170|ORDELL|"Beaumont. That's the only name I
know."|speech
171||"Max looks at Ordell, but doesn't ask him the obvious
question.
Max picks up the phone."|stage direction
172||(on phone)|location
173|MAX|Records office.|speech
174||"Max on hold, looks at Ordell.
Ordell smiles."|stage direction
175||(back on the line)|location
176|MAX (CONT'D)|"Hello, this is Max Cherry. Cherry
Bail Bonds. Who's this?"|speech
177||(pause)|location
178|MAX (CONT'D)|"Hi, Vicki. Look, Vicki, I need you to
look up the booking card and rough
arrest on a defendant named Beaumont."|speech
179||(pause)|location
180|MAX (CONT'D)|"That's all I have. I believe it's a
surname but I'm not sure. Thanks."|speech
181||Louis enters the area, standing over Ordell.|stage direction
182|LOUIS|I'm going to wait in the car.|speech
183|ORDELL|Sure.|speech
184||(to Max)|location
185|ORDELL|We almost done, ain't we?|speech
186|MAX|Getting there.|speech
187|ORDELL|"You go wait in the car. Wait a
minute."|speech
188||"Ordell pulls out a heavy-duty keychain with a shitload of
keys on it."|stage direction
189|ORDELL|Take the keys, man. Listen to music.|speech
190|LOUIS|Which one is for the car?|speech
191||"Ordell finds it. While he goes through the keys, Vicki
comes back on the line.
Max speaks with her as he fills out his papers."|stage direction
192||(holding a key)|location
193|ORDELL|This one's for the ignition...|speech
194||"(holding a little black
box)"|location
195|ORDELL|"... but you gotta hit this thing to
shut the alarm off and unlock the
door."|speech
196|LOUIS|What do I do?|speech
197|ORDELL|"You ain't got to do nothing. Just
point at it and push the button.
You'll hear the car go ""bleep."" That
means the alarm's off and the doors
are open."|speech
198|LOUIS|Okay.|speech
199|ORDELL|"Now play the volume as loud as you
want but don't touch my levels. I got
them set just the way I want 'em."|speech
200||Louis nods and goes out.|stage direction
201||EXT. CHERRY BAIL BONDS - DAY|location
202||"Louis walks out of the office. He goes up to Ordell's
black Mercedes. He points the little black box at it. The
car goes BLEEP.
He gingerly approaches it, opens the door and climbs
inside."|stage direction
203||INT. MAX CHERRY'S OFFICE - DAY|location
204||Max hangs up the phone.|stage direction
205||(to Ordell)|location
206|MAX|Beaumont Livingston.|speech
207|ORDELL|Livingston, huh?|speech
208|MAX|"On his prior, he served nine months,
and he's working on four years'
probation."|speech
209|ORDELL|You don't say.|speech
210|MAX|"Do you know what he's on probation
for?"|speech
211|ORDELL|Haven't a clue.|speech
212|MAX|"Possession of unregistered machine
guns."|speech
213|ORDELL|"Will they consider this a violation
of his probation?"|speech
214|MAX|"They do consider this a violation of
his probation. Your boy's looking at
ten years, plus the concealed weapon."|speech
215|ORDELL|"Man, he won't like that. Beaumont
don't got a doin' time disposition."|speech
216|MAX|I need your name and address.|speech
