|text|type
204|INT. HELICOPTER|location
205|INT. HOTEL HALL|location
206|EXT. HOTEL|location
207|INT. HELICOPTER|location
208|EXT. HELIPAD|location
209|INT. THUGMOBILE|location
210|EXT. SWITCHBACK|location
211|INT. POLICE CAR|location
212|INT. HORUKO'S HELICOPTER|location
213|EXT. SWITCHBACK|location
214|INT. HORUKO'S HELICOPTER|location
215|EXT. SIDEWINDER ROAD|location
216|INT. KATSU'S CAR|location
217|INT. HELICOPTER|location
218|INT. HELICOPTER|location
219|INT. SNAKES'S CAR|location
220|INT. BLIMP|location
221|EXT. MOUNTAIN ROAD|location
222|INT. BLIMP|location
223|EXT. MOUNTAIN ROAD|location
224|INT. HELICOPTER|location
225|INT. BLIMP|location
226|INT. KATSU'S CAR|location
227|INT. HORUKO'S HELICOPTER|location
228|INT. THUGMOBILE|location
229|INT. HELICOPTER|location
230|EXT. RENDEZVOUS|location
231|INT. BLIMP|location
232|EXT. RENDEZVOUS|location
233|INT. BLIMP|location
234|EXT. MALTESE ICE CAVES|location
235|INT. RACER X'S CAR|location
236|EXT. MALTESE ICE CAVES|location
237|INT. BLIMP|location
238|INT. HELICOPTER|location
239|EXT. GLACIER CLIFF|location
240|INT. HELICOPTER|location
241|EXT. MOUNTAIN ROAD|location
242|INT. BLIMP|location
243|EXT. MOUNTAIN ROAD|location
244|INT. BLIMP|location
245|EXT. FINISH LINE|location
246|INT. REMMINGTON'S OFFICE.|location
247|EXT. VICTORY LANE|location
248|INT. REMMINGTON'S OFFICE|location
249|INT. OKAMOTO'S OFFICE|location
250|EXT. VICTORY LANE|location
251|INT. REMMINGTON'S OFFICE|location
252|INT. OKAMOTO'S OFFICE|location
253|INT. RACER FAMILY GARAGE|location
254|INT. MACH 5|location
255|EXT. THUNDERHEAD|location
256|INT. SPEED'S ROOM|location
257|INT. RACER FAMILY LIVING ROOM|location
258|WITH|stage direction
259|HORUKO (CONT'D)|stage direction
260|INT. RACER FAMILY GARAGE|location
261|INT. REMMINGTON INDUSTRIES LABORATORY|location
262|INT. RACER FAMILY GARAGE|location
263|INT. REMMINGTON'S OFFICE|location
264|INT. RACER FAMILY GARAGE|location
265|EXT. THE GRAND PRIX|location
266|INT. RACER FAMILY GARAGE|location
267|INT. GRAND PRIX PENTHOUSE|location
268|INT. RACER FAMILY GARAGE|location
269|EXT. GRAND PRIX GRANDSTANDS|location
270|INT. RACER FAMILY GARAGE|location
271|EXT. GRAND PRIX|location
272|INT. RACER FAMILY GARAGE|location
273|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
274|INT. GRAND PRIX PENTHOUSE|location
275|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
276|EXT. TRAILER ENTRANCE|location
277|INT. RACE OFFICIAL'S ROOM|location
278|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
279|EXT. BIG BOARD|location
280|INT. GRAND PRIX PENTHOUSE|location
281|INT. PRIVATE OFFICE|location
282|INT. LOCKER ROOM|location
283|EXT. GRAND PRIX GRANDSTANDS|location
284|INT. LOCKER ROOM|location
285|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
286|INT. LOCKER ROOM|location
287|INT. PLAYER'S TUNNEL|location
288|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
289|EXT. GRAND PRIX STARTING LINE|location
290|EXT. GRAND PRIX GRANDSTANDS|location
291|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
292|EXT. STARTING LINE|location
293|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
294|EXT. GRAND PRIX|location
295|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
296|EXT. GRAND PRIX STARTING LINE|location
297|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
298|EXT. GRAND PRIX TRACK|location
299|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
300|EXT. GRAND PRIX TRACK|location
301|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
302|EXT. GRAND PRIX TRACK|location
303|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
304|EXT. THE BIG DROP|location
305|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
306|INT. MACH 5|location
307|EXT. GRAND PRIX TRACK|location
308|INT. GRAND PRIX PENTHOUSE|location
309|INT. MACH 5|location
310|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
311|INT. GRAND PRIX PENTHOUSE|location
312|EXT. GRAND PRIX GRANDSTANDS|location
313|EXT. GRAND PRIX TRACK|location
314|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
315|EXT. GRAND PRIX TRACK|location
316|EXT. GRAND PRIX TRACK|location
317|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
318|INT. GRAND PRIX PENTHOUSE|location
319|EXT. GRAND PRIX TRACK|location
320|EXT. PIT STOP|location
321|EXT. GRAND PRIX GRANDSTANDS|location
322|INT. GRAND PRIX LUXURY BOXES|location
323|EXT. GRAND PRIX TRACK|location
324|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
325|EXT. GRAND PRIX TRACK|location
326|INT. GRAND PRIX PENTHOUSE|location
327|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
328|EXT. GRAND PRIX TRACK|location
329|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
330|INT. GRAND PRIX PENTHOUSE|location
331|EXT. GRAND PRIX TRACK|location
332|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
333|INT. MACH 5|location
334|INT. GRAND PRIX PENTHOUSE|location
335|EXT. GRAND PRIX GRANDSTANDS|location
336|INT. GRAND PRIX PENTHOUSE|location
337|EXT. FINISH LINE|location
338|INT. GRAND PRIX ANNOUNCER'S BOOTH|location
339|EXT. FINISH LINE|location
340|INT. LUXURY BOXES GRAND PRIX|location
341|EXT. VICTORY LANE|location
