|character|text|type|character_clean|gender
1167||Her little, wiry body coils tight as she circles him.|stage direction||
1168|EVEY|"I hate you!  Set me free?  You put
me in a prison to set me free?!"|speech|EVEY|F
1169|V|"You were already in a prison.
You've been in a prison all your
life."|speech|V|F
1170|EVEY|"Shut up!  I don't want to hear it.
I wasn't in a prison.  I was happy!
I was happy here --"|speech|EVEY|F
1171|V|"Happiness is the most insidious
prison of all, Evey."|speech|V|F
1172|EVEY|"That's warped!  That's evil and
it's wrong!  What gives you the
right to judge?  Who are you to say
what's not good enough?!"|speech|EVEY|F
1173|V|"You were born in a prison, Evey.  I
didn't put you there.  I just
showed you the bars.  You've been
in a prison so long, you no longer
believe there's an outside world."|speech|V|F
1174||"She wheels away from him, covering her ears, trying to get
away from his voice."|stage direction||
1175|EVEY|"Shut up!  You're mad!  I don't want
to hear it!"|speech|EVEY|F
1176|V|"That's because you're afraid, Evey.
You're afraid because you can feel
freedom closing in on you.  You're
afraid because freedom is
terrifying."|speech|V|F
1177||"Evey falls, stumbling through the labyrinth of the Shadow
Gallery."|stage direction||
1178|EVEY|"I can't feel anything!  There's
nothing left to feel!  Don't you
understand?"|speech|EVEY|F
1179|V|"Don't back away from it, Evey.
Part of you understands the truth
even as part pretends not to."|speech|V|F
1180||She collapses, head pounding.|stage direction||
1181|V|"Woman, this is the most important
moment in your life.  Don't run
from it."|speech|V|F
1182|EVEY|"I don't know what -- Oh god -- I
can't breathe --"|speech|EVEY|F
1183||V couches next to her.|stage direction||
1184|V|"Good.  You're almost there.  Go
closer.  Feel the shape of it."|speech|V|F
1185|EVEY|"What are you doing to me?  I can't
breathe --"|speech|EVEY|F
1186|V|"You were in a cell.  They offered
you a choice between the death of
your principles and the death of
your body."|speech|V|F
1187||"He cradles her as she hyperventilates, tears streaming down
her face."|stage direction||
1188|EVEY|"I feel -- I feel like I'm going to
burst."|speech|EVEY|F
1189|V|"You said you'd rather die.  You
faced the fear of your own death
and you were calm.  Try to feel now
what you felt then."|speech|V|F
1190|EVEY|Oh god -- I felt --|speech|EVEY|F
1191||The mask hovers over her.|stage direction||
1192|EVEY|Like an angel --|speech|EVEY|F
1193||He squeezes her shuddering body.|stage direction||
1194|EVEY|"Oh god, V, I'm so scared.  What's
happening to me?"|speech|EVEY|F
1195|V|"The door of the cage is open, Evey.
All that you feel is the wind from
outside.  Don't be afraid."|speech|V|F
1196||Gently, he lifts her.|stage direction||
1197|V|"Try to walk.  The lift will take us
to the roof."|speech|V|F
1198|EVEY|The roof?  Outside?|speech|EVEY|F
1199||He helps her to an open elevator.|stage direction||
1200|EVEY|"I -- I don't want to be
blindfolded."|speech|EVEY|F
1201|V|No, Evey.  No more blindfolds.|speech|V|F
1202||The cage in the elevator rattles shut.|stage direction||
1203||EXT.  ROOF - NIGHT|location||
1204||"The two figures stand in the door of the roof access, a
raging tempest oozing from a split sky.
Something draws Evey out into the storm.
Slowly, she walks beneath it, the wind and rain pounding
against her thin frame.  Evey lets the coarse slipover fall
to the ground and stares straight up into the storm, naked,
the elements soaking into her very being.
V moves up behind her."|stage direction||
1205|V|Do you feel it?|speech|V|F
1206|EVEY|Everything's so -- different.|speech|EVEY|F
1207|V|"I know.  Five years ago, I too
stared beneath a night like this.
Naked under a roaring sky."|speech|V|F
1208||A low rumble of thunder washes over London.|stage direction||
1209|V|"The night is yours, Evey.  Seize
it.  Encircle it within your arms."|speech|V|F
1210||His words buffet against her with the sheets of rain.|stage direction||
1211|V|"Bury it in your heart up to the
hilt."|speech|V|F
1212||She raises her arms to embrace the raging torrent.|stage direction||
1213|V|"Become transfixed and
transfigured --"|speech|V|F
1214||A jagged bolt of lightning shatters the sky.|stage direction||
1215|V|Forever.|speech|V|F
1216||EXT.  NEW GOVERNMENT BUILDING|location||
1217||"Finch gets out of a police car and looks up the black face of
the modern building.  He sighs and taps his pipe against the
heel of his shoe."|stage direction||
1218|DASCOMBE|Finch!|speech|DASCOMBE|M
1219||Finch turns to find Dascombe hurrying towards him.|stage direction||
1220|DASCOMBE|Do you know what this is all about?|speech|DASCOMBE|M
1221|FINCH|No, but I can guess.|speech|FINCH|M
1222|DASCOMBE|What?|speech|DASCOMBE|M
1223|FINCH|"""Remember, remember, the fifth of
November."""|speech|FINCH|M
1224|DASCOMBE|"Oh come on.  He's long gone.  He
has to be.  He did what he came to
do and it's over."|speech|DASCOMBE|M
1225||Finch chews on his pipe.|stage direction||
1226|DASCOMBE|Isn't it?|speech|DASCOMBE|M
1227|FINCH|Not for us.|speech|FINCH|M
1228||He turns and heads into the building.|stage direction||
1229||FADE OUT.|location||
1230||FADE IN:|stage direction||
1231||EXT.  NEW GOVERNMENT BUILDING - DAY|location||
1232||A dark November sky hangs like a shroud over the building.|stage direction||
1233|LEADER (V.O.)|A year, gentlemen.|speech|LEADER|M
1234||INT.  COUNCIL CONFERENCE ROOM|location||
1235||"The heads of each department are gathered around a table of
black granite.
Peter Creedy, sitting back out of the lights, is the new head
of the Finger."|stage direction||
1236|LEADER|"I have given you almost a year and
you have given me nothing.
Nothing!"|speech|LEADER|M
1237||He glares at Finch.|stage direction||
1238|DASCOMBE|"Now Adam, there is no one better
than Finch and you know it."|speech|DASCOMBE|M
1239|LEADER|"Yes, Mr. Dascombe, I do know it.
It is that very fact that keeps me
awake at night, wondering if
perhaps there is a reason that Mr.
Finch has failed."|speech|LEADER|M
1240|FINCH|What are you saying?|speech|FINCH|M
1241|LEADER|"I'm saying that perhaps I don't
know you as well as I thought I
did."|speech|LEADER|M
1242|FINCH|Are you asking for my resignation?|speech|FINCH|M
1243|LEADER|"No, I am asking for some goddamn
results!"|speech|LEADER|M
1244|DASCOMBE|It's not Finch's fault, Adam.|speech|DASCOMBE|M
1245|CONRAD|"We've all been looking.  The man
simply disappeared."|speech|CONRAD|M
1246|ETHERIDGE|Vanished.|speech|ETHERIDGE|M
