;vocab_male;vocab_male_count;vocab_female;vocab_female_count
1024;shape;4;scorn;1
1025;judgement;4;scuse;1
1026;richie;4;toothbrush;1
1027;arthur;4;roller;1
1028;jewelry;4;kitchen;1
1029;clubhouse;4;pity;1
1030;passion;4;cop;1
1031;crop;4;trickster;1
1032;jump;4;ill;1
1033;depression;4;bodice;1
1034;dealer;4;sketch;1
1035;praise;4;con;1
1036;hall;4;darlin;1
1037;talent;4;bathroom;1
1038;kristina;4;angel;1
1039;confidence;4;interest;1
1040;camera;4;warmth;1
1041;clever;4;sydney;1
1042;es;4;efficacy;1
1043;process;4;sunshine;1
1044;lock;4;marijuana;1
1045;lo;4;relevance;1
1046;freeman;4;lift;1
1047;sword;4;physician;1
1048;schuyler;4;exception;1
1049;catcher;4;reinstate;1
1050;junkie;4;n;1
1051;witness;4;employ;1
1052;confess;4;droppin;1
1053;shut;4;aeroplane;1
1054;florida;4;sle;1
1055;assure;4;balance;1
1056;july;4;procedure;1
1057;commence;4;tissue;1
1058;bodyguard;4;cone;1
1059;bastard;4;violin;1
1060;mille;4;wound;1
1061;wha;4;rebellion;1
1062;prisoner;4;puttin;1
1063;escobar;4;fuss;1
1064;midnight;4;rain;1
1065;background;4;opportunity;1
1066;delgado;4;tune;1
1067;brain;4;hacer;1
1068;closet;4;punctuate;1
1069;genius;4;kept;1
1070;progress;4;impertinent;1
1071;joke;4;alabama;1
1072;denise;4;tha;1
1073;quit;4;identify;1
1074;hmm;4;hal;1
1075;novel;4;cherry;1
1076;strange;4;ease;1
1077;effect;4;assassination;1
1078;ashley;4;royal;1
1079;center;4;prison;1
1080;supply;4;cape;1
1081;refuel;4;pavement;1
1082;mornay;4;gwendolyn;1
1083;authority;4;dead;1
1084;lead;4;election;1
1085;extension;4;salir;1
1086;delivery;4;bore;1
1087;plague;4;dense;1
1088;ho;4;syphilis;1
1089;wise;4;christmas;1
1090;diplomat;4;sherman;1
1091;detail;4;encima;1
1092;star;4;burt;1
1093;whack;3;post;1
1094;compassion;3;bury;1
1095;rise;3;cowboy;1
1096;sanderson;3;mismo;1
1097;second;3;bate;1
1098;admire;3;mastur;1
1099;secure;3;presence;1
1100;unit;3;ahh;1
1101;mo;3;bound;1
1102;shook;3;ppm;1
1103;cocksucker;3;bath;1
1104;provide;3;multiply;1
1105;description;3;sos;1
1106;beauty;3;shhhh;1
1107;cadillac;3;vaccination;1
1108;attempt;3;tennis;1
1109;scout;3;virgin;1
1110;goodbye;3;ford;1
1111;wind;3;failure;1
1112;deck;3;inside;1
1113;victory;3;prowl;1
1114;train;3;generosity;1
