;vocab_male;vocab_male_count;vocab_female;vocab_female_count
358;seat;44;mommy;16
359;wake;44;planet;16
360;heat;44;dr;16
361;twenty;44;race;16
362;light;44;finn;16
363;want;43;front;16
364;endeavor;43;bai;16
365;cover;43;andromeda;16
366;tape;43;sister;16
367;base;43;force;15
368;canter;43;law;15
369;bifrost;43;deck;15
370;corner;43;camp;15
371;thought;43;cop;15
372;eat;43;bathroom;15
373;bubbleship;42;anderson;15
374;uh;42;sign;15
375;race;42;date;15
376;break;42;window;15
377;ask;42;cannot;15
378;sara;42;apartment;15
379;metal;42;sun;15
380;dark;41;suv;15
381;steel;41;sense;15
382;command;41;court;15
383;shut;41;safety;15
384;box;41;ask;15
385;luck;40;play;15
386;code;40;damn;15
387;count;40;couple;15
388;answer;40;wanna;15
389;alright;40;desert;15
390;find;40;exchange;15
391;hang;40;princess;15
392;view;40;g;15
393;screen;39;steel;15
394;waste;39;view;15
395;size;39;state;15
396;yaz;39;site;15
397;fall;39;center;15
398;charge;39;galinka;14
399;thirty;39;hole;14
400;crime;39;fleet;14
401;paper;38;wind;14
402;bike;38;murder;14
403;entrance;38;phase;14
404;bag;38;ice;14
405;shield;38;reality;14
406;crap;38;battle;14
407;position;38;chair;14
408;fault;38;minute;14
409;gang;38;spot;14
410;smith;38;neck;14
411;sam;37;killer;14
412;johnny;37;hall;14
413;creature;37;direction;14
414;risk;37;situation;14
415;gate;37;darcy;14
416;escape;37;building;14
417;blow;37;forget;14
418;flight;37;grabs;14
419;cross;37;attention;14
420;press;37;bob;14
421;hero;36;peace;14
422;emergency;36;ride;14
423;strength;36;cabin;14
424;test;36;remember;14
425;walter;36;fact;14
426;silence;36;walk;14
427;dodge;36;penny;14
428;neck;36;know;14
429;monster;36;isaacs;14
430;dollar;36;captain;13
431;york;36;army;13
432;percent;36;hospital;13
433;block;36;hold;13
434;lock;35;lab;13
435;dr;35;palace;13
436;speak;35;bag;13
437;hector;35;mistake;13
438;fuel;35;charlie;13
439;hi;35;joanna;13
440;honey;35;form;13
441;distance;35;round;13
442;fun;35;jail;13
443;train;35;huh;13
444;duty;35;pilot;13
445;fear;35;dagger;13
446;chair;34;selvig;13
447;act;34;pass;13
448;clock;34;duke;13
449;pick;34;teach;13
450;ball;34;castle;13
451;speed;34;gas;13
452;selvig;34;gabriel;13
453;rider;34;farm;13
454;stand;34;computer;13
455;program;34;waste;13
456;walk;34;press;13
457;victoria;33;van;13
458;bloody;33;evey;13
459;saw;33;faerie;12
460;operation;33;join;12
461;research;33;commander;12
462;age;33;break;12
463;device;33;letter;12
464;crack;33;shoulder;12
465;beach;33;offer;12
466;lab;33;heat;12
467;mistake;33;blast;12
468;card;33;level;12
469;jump;33;memory;12
470;front;33;entrance;12
471;ben;33;crazy;12
472;freedom;33;block;12
473;search;33;rock;12
474;park;33;rachel;12
475;bull;33;sam;12
476;center;33;crime;12
477;pilot;33;duty;12
478;hit;33;cash;12
479;class;33;none;12
480;hurt;32;plane;12
481;spot;32;yu;12
482;vacation;32;marcus;12
483;maggie;32;energy;12
484;put;32;research;12
485;site;32;grimm;12
486;desk;32;nomi;12
487;heimdall;32;hit;12
488;hurry;32;jade;12
489;erik;32;village;12
490;bullshit;32;dozen;12
491;shock;32;land;12
492;dinner;32;cloud;12
493;bullet;32;tunnel;12
