;vocab_male;vocab_male_count;vocab_female;vocab_female_count
391;radiator;6;example;2
392;opportunity;6;honey;2
393;escape;6;ceremony;2
394;bottom;6;answer;2
395;burn;6;pizza;2
396;crowd;6;beauty;2
397;trip;6;mess;2
398;smell;6;lab;2
399;focus;6;jumping;2
400;cool;6;london;2
401;sparky;6;gento;2
402;drago;6;silver;2
403;group;6;ewwww;2
404;message;6;lucy;2
405;crack;6;bowls;2
406;ant;6;mcqueen;2
407;duty;6;service;2
408;doctor;6;ew;2
409;dark;6;bridge;2
410;lady;6;strength;2
411;stand;6;alarm;2
412;building;6;dog;2
413;tail;6;radio;2
414;soldier;6;steal;2
415;stick;6;moron;2
416;miss;6;grandmother;2
417;mama;6;news;2
418;stall;6;debt;2
419;mack;6;protect;2
420;enemy;6;gratitude;2
421;aggie;6;lift;2
422;majesty;6;cont;2
423;cinco;6;yes;2
424;tigress;6;ham;2
425;gramma;6;cape;2
426;shock;6;crowd;2
427;system;6;gasps;2
428;attack;6;ice;2
429;wall;6;snotlout;2
430;beast;6;sshh;2
431;lobby;6;wrap;2
432;hair;6;support;2
433;corpse;6;fight;2
434;leader;6;war;2
435;hobbscap;6;form;2
436;margo;6;dowser;2
437;zundapp;6;hear;2
438;merlin;5;disgrace;2
439;force;5;fury;2
440;thunder;5;check;2
441;mel;5;smell;2
442;strike;5;spy;2
443;type;5;loyal;2
444;rescue;5;focus;2
445;answer;5;charge;2
446;thee;5;jerk;2
447;strength;5;gun;2
448;pinocchio;5;gum;2
449;farquaad;5;p;2
450;geez;5;sign;2
451;nature;5;paragon;2
452;interest;5;dude;2
453;child;5;club;2
454;snipe;5;cat;2
455;shame;5;stature;2
456;board;5;natasha;2
457;gasps;5;crazy;2
458;dinner;5;spot;2
459;afternoon;5;cute;2
460;prisoner;5;half;2
461;tie;5;bowling;2
462;picture;5;someplace;2
463;journey;5;henscher;2
464;dance;5;saw;2
465;deblois;5;take;2
466;flash;5;pain;2
467;dig;5;shop;2
468;fly;5;ground;2
469;soul;5;crime;2
470;laughter;5;pumpkin;2
471;rock;5;celebrate;2
472;el;5;parking;2
473;track;5;quack;2
474;corner;5;period;2
475;graveyard;5;stretch;2
476;sound;5;squash;2
477;pay;5;case;2
478;statue;5;ship;2
479;dare;5;worry;2
480;audience;5;pay;2
481;luck;5;summer;2
482;legacy;5;remember;2
483;distance;5;dark;2
484;taste;5;competition;2
485;ay;5;moon;2
486;field;5;volkswagen;2
487;flower;5;choo;2
488;case;5;stand;2
489;list;5;act;2
490;pass;5;os;2
491;gosh;5;ohh;2
492;glad;5;ad;2
493;gasp;5;cream;2
494;foot;5;idiot;2
495;hook;5;field;2
496;val;5;tail;2
497;hill;5;hideout;2
498;kung;5;fan;2
499;fu;5;list;2
500;relationship;5;grabs;2
501;movie;5;section;2
502;village;5;pick;2
503;damn;5;dowager;2
504;champion;5;faint;2
505;edge;5;glad;2
506;zombie;5;dey;2
507;shiftwell;5;history;2
508;insectopia;5;beautiful;2
509;ellie;5;share;2
510;jump;5;creature;2
511;oogway;5;vlad;2
512;rabbit;5;adventure;2
513;lock;5;refuse;2
514;bye;5;playing;2
515;babcock;5;suffer;2
516;scene;5;sauce;2
517;gobber;5;walla;2
518;gotcha;5;marry;2
519;neck;5;harm;2
520;afraid;5;ball;2
521;nefario;5;hill;2
522;fact;5;dirt;2
523;act;5;ask;2
524;bludvist;5;kung;2
525;superhero;5;castle;2
526;yay;5;fancy;2
527;know;5;revolution;2
528;sister;5;miss;2
529;branch;5;paint;2
530;buddy;4;store;2
531;bike;4;cover;2
532;oooh;4;find;2
533;hide;4;circle;2
534;mantis;4;courage;2
535;plato;4;kill;2
536;calm;4;barf;2
537;hurt;4;bark;2
538;david;4;drunk;2
539;beauty;4;px;2
540;law;4;meeting;2
541;break;4;shiftwell;2
542;victory;4;pack;2
543;ate;4;kingdom;2
544;tow;4;belong;2
545;listen;4;yesterday;2
546;ray;4;weird;2
547;swamp;4;anybody;2
548;claude;4;maker;2
549;bar;4;cheddar;2
550;goodnight;4;cup;2
551;ritchi;4;radiator;2
552;protect;4;knock;2
553;accident;4;spink;2
554;speak;4;bouncy;2
555;photo;4;mmmmm;2
556;shoulder;4;zombie;2
557;gift;4;karmann;2
558;arthur;4;stench;2
559;nerve;4;question;2
560;music;4;frost;2
561;shit;4;peace;2
562;shop;4;insect;2
563;join;4;rescuer;2
564;badge;4;jason;2
565;baseball;4;go;2
566;effort;4;ahhaha;2
567;caw;4;tunnel;2
568;crazy;4;ride;2
569;serum;4;climb;2
570;information;4;ghia;2
571;spot;4;camera;2
572;platform;4;sort;2
573;thump;4;babe;2
574;drop;4;train;2
575;square;4;praise;2
576;eh;4;meet;2
577;view;4;villain;2
578;adventure;4;sit;2
579;prince;4;prance;2
580;mailman;4;bernoulli;2
581;valka;4;practice;2
582;butt;4;dat;2
583;uncle;4;kiss;2
584;crime;4;beneath;2
585;paper;4;society;2
586;roger;4;shannon;2
587;wonder;4;comrade;2
588;koom;4;privacy;2
589;expression;4;accent;2
590;situation;4;allinol;2
591;evening;4;nobody;2
592;money;4;bring;2
593;color;4;fear;2
594;doll;4;piano;2
595;island;4;beat;2
596;valley;4;beam;2
597;heh;4;brain;2
598;groan;4;bobinsky;2
599;corsa;4;joke;2
600;toilet;4;laugh;2
601;ohh;4;cousin;2
602;idiot;4;waste;2
603;poop;4;salma;2
604;hmmm;4;partner;2
605;hee;4;command;2
606;sand;4;government;2
607;pick;4;loser;2
608;hugo;4;church;2
609;creature;4;holley;2
610;plane;4;corpse;2
611;mission;4;kiddo;2
612;energy;4;throne;2
613;mmm;4;chetyri;2
614;twenty;4;cinderella;2
615;paint;4;secret;2
616;park;4;hm;2
617;tooth;4;oak;2
618;aah;4;branch;2
619;reach;4;kinda;2
620;fine;4;ghost;2
621;find;4;cloudjumper;2
622;giant;4;hate;1
623;justice;4;feeding;1
624;meeting;4;dazh;1
625;kingdom;4;sway;1
626;darrell;4;worth;1
627;shirt;4;gobbler;1
628;anybody;4;rise;1
629;source;4;humph;1
630;block;4;hapaya;1
631;doubt;4;enjoy;1
632;peach;4;bicycle;1
633;club;4;harold;1
634;scream;4;pulse;1
635;win;4;batch;1
636;feller;4;panda;1
637;duck;4;pooky;1
638;stage;4;poison;1
639;porch;4;reporter;1
640;stone;4;jasmine;1
641;tunnel;4;pursuit;1
642;tongue;4;mer;1
643;chief;4;cardboard;1
644;bunch;4;strewn;1
645;treat;4;daughter;1
646;image;4;study;1
647;beneath;4;smoke;1
648;shut;4;diameter;1
649;sack;4;campaign;1
650;monkey;4;ninety;1
651;allinol;4;calm;1
652;shelf;4;gasoline;1
653;bed;4;roof;1
654;tonight;4;uberman;1
655;jail;4;ms;1
656;wha;4;erm;1
657;cartrip;4;flung;1
658;chicken;4;david;1
659;handle;4;turn;1
660;brain;4;provide;1
661;yah;4;eeeee;1
662;hmm;4;travel;1
663;girlfriend;4;amazing;1
664;rocket;4;morbid;1
665;desk;4;gate;1
666;press;4;beach;1
667;page;4;description;1
668;count;4;salsa;1
669;piece;4;law;1
670;goodness;4;greet;1
671;pit;4;childhood;1
672;gelato;4;baggage;1
673;rule;4;goodbye;1
674;sleep;3;wind;1
675;captain;3;hiiiiyah;1
676;formica;3;dreamer;1
677;blue;3;crew;1
678;mee;3;combination;1
679;avery;3;daubs;1
680;apartment;3;bank;1
681;china;3;rhetoric;1
682;insult;3;meat;1
683;breathe;3;oxygen;1
684;relax;3;fitness;1
685;haha;3;volcano;1
686;mo;3;meal;1
687;uberman;3;jillian;1
688;wybie;3;spider;1
689;want;3;impossible;1
690;ceremony;3;dawn;1
691;damage;3;whoosh;1
692;lah;3;forty;1
693;salsa;3;grease;1
694;baggage;3;forcible;1
695;enter;3;barrier;1
696;office;3;formation;1
697;beside;3;evil;1
698;bank;3;jackman;1
