;vocab_male;vocab_male_count;vocab_female;vocab_female_count
621;jake;18;enjoy;6
622;forget;18;force;6
623;material;18;hero;6
624;search;18;hospital;6
625;perry;18;strike;6
626;source;18;enter;6
627;crap;18;office;6
628;access;18;destroyer;6
629;staff;18;doug;6
630;sleep;18;mayday;6
631;reveal;18;tango;6
632;college;18;tree;6
633;hill;18;anybody;6
634;table;18;ray;6
635;nature;17;realm;6
636;vision;17;dom;6
637;tube;17;probe;6
638;exit;17;country;6
639;spock;17;lift;6
640;victor;17;rain;6
641;david;17;kid;6
642;buck;17;shadow;6
643;concern;17;fork;6
644;throw;17;focus;6
645;reed;17;level;6
646;fly;17;entrance;6
647;wonder;17;pure;6
648;dragon;17;neck;6
649;shape;17;cute;6
650;mirror;17;lunch;6
651;sort;17;rock;6
652;climb;17;draft;6
653;throat;17;wood;6
654;joke;17;kepheus;6
655;mess;17;comm;6
656;boss;17;driver;6
657;gift;17;color;6
658;russell;17;kingdom;6
659;ten;17;dare;6
660;hotel;17;cooper;6
661;shirt;17;exit;6
662;crash;17;heh;6
663;emperor;17;building;6
664;record;17;kowalsky;6
665;release;16;gang;6
666;child;16;design;6
667;destroy;16;action;6
668;traffic;16;hurrah;6
669;research;16;share;6
670;relationship;16;plant;6
671;casino;16;event;6
672;beneath;16;dirt;6
673;device;16;imagine;6
674;bala;16;twenty;6
675;dust;16;grace;6
676;wheel;16;reach;6
677;diner;16;gold;6
678;curse;16;circle;6
679;egg;16;permission;6
680;fence;16;coulson;6
681;ash;16;practice;6
682;pum;16;rover;6
683;drink;16;york;6
684;signal;16;connection;6
685;dude;16;quail;6
686;orbit;16;entry;6
687;surprise;16;hooper;6
688;probe;16;link;6
689;jupiter;16;heimdall;6
690;afternoon;16;nion;6
691;easter;16;knight;6
692;clive;16;climb;6
693;mention;16;doubt;6
694;enter;16;stage;6
695;flame;16;train;6
696;casket;16;cabbage;6
697;football;16;claire;6
698;stick;16;crash;6
699;fiona;16;spell;6
700;cigarette;16;nick;6
701;fucking;16;g;6
702;radiation;16;attack;6
703;mcqueen;15;rodger;6
704;tech;15;chicken;6
705;bloody;15;fuel;6
706;expression;15;wire;6
707;thousand;15;destiny;6
708;terri;15;favor;6
709;plant;15;merry;6
710;operation;15;gaze;6
711;leg;15;shuttle;6
712;study;15;drone;6
713;bank;15;grandmama;6
714;cop;15;console;6
715;reality;15;supply;6
716;month;15;fate;6
717;fleet;15;knox;6
718;colonel;15;candy;6
719;armor;15;pressure;6
720;route;15;paris;5
721;huntsman;15;rise;5
722;page;15;debris;5
723;tongue;15;hide;5
724;goodbye;15;wreck;5
725;interest;15;thunder;5
726;burn;15;credit;5
727;skin;15;mo;5
728;bullshit;15;example;5
729;bunch;15;travel;5
730;bye;15;gate;5
731;ridge;15;thewes;5
732;panel;15;wine;5
733;craft;15;message;5
734;chocolate;15;edward;5
735;uncle;15;strength;5
736;trade;15;rico;5
737;colony;15;bat;5
738;minister;15;approach;5
739;toilet;15;wu;5
740;vincent;15;bachelorette;5
741;conversation;15;royal;5
742;angle;15;left;5
743;combat;15;protocol;5
744;suzy;15;photo;5
745;empire;15;humanity;5
746;lead;15;post;5
747;weather;15;device;5
748;worker;14;offer;5
749;shadow;14;reality;5
750;support;14;test;5
751;smell;14;push;5
752;training;14;milk;5
753;screen;14;blast;5
754;cream;14;cost;5
755;status;14;fear;5
756;castle;14;effort;5
757;self;14;fantasos;5
758;gregor;14;till;5
759;doubt;14;training;5
760;motorcycle;14;motion;5
761;handle;14;elliot;5
