|text|type
164|INT. OPERATING CHAMBER - DAY|location
165|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
166|INT. FLIGHT CONTROL ROOL - DAY|location
167|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
168|INT. FLIGHT CONTROL ROOM - DAY|location
169|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
170|INT. FLIGHT CONTROL ROOM - DAY|location
171|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
172|INT. FLIGHT CONTROL ROOM - DAY|location
173|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
174|EXT. WHITE HOUSE - WASHINGTON - DAY|location
175|INT. PRESIDENTIAL BUNKER - DAY|location
176|EXT. UNDERWATER - DAY|location
177|INT./EXT. SHARC - UNDERWATER - DAY|location
178|INT. CONTROL ROOM - ENERGY SHAFT - DAY|location
179|EXT. UNDERWATER - DAY|location
180|INT. ENERGY SHAFT - DAY|location
181|INT. PRESIDENTIAL BUNKER - DAY|location
182|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
183|INT. FLIGHT CONTROL ROOM - DAY|location
184|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
185|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
186|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
187|INT. OPERATING CHAMBER - DAY|location
188|INT./EXT. NIGHT RAVE - SKIES - DAY|location
189|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
190|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
191|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
192|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
193|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
194|INT./EXT. NIGHT RAVEN - SKIES - DAY|location
195|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
196|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
197|EXT. PARACHUTE - SKIES - DAY|location
198|EXT. WHITE HOUSE - DAY|location
199|INT. ENERGY SHAFT - DAY|location
200|INT./EXT. SHARC - UNDERWATER - DAY|location
201|INT. CONTROL ROOM - DAY|location
202|INT. TRIDENT - DAY|location
203|INT. DIVING BELL ENTRY PORT - DAY|location
204|INT./EXT. SHARC - UNDERWATER - DAY|location
205|EXT. TRIDENT - UNDERWATER - DAY|location
206|INT. TRIDENT - UNDERWATER - DAY|location
207|INT. VIEWING ROOM - MAXIMUM SECURITY PRISON - DAY|location
208|INT. CORRIDOR - MAXIMUM SECURITY PRISON - DAY|location
209|INT. LANDING PLATFORM - THE PIT - DAY|location
210|INT. PRESIDENTIAL OFFICES - WHITE HOUSE - DAY|location
