|character|text|type|character_clean|gender
167|VOICE (O.S.)|Miami-Dade PD Tech...|speech|VOICE|F
168||(into phone)|location||
169|TUBBS|"Bobby G.  The firefly we used to
have on Alonzo Stevens' Bentley,
check if it still runs; if so,
launch Air Support.  Locate the
Bentley..."|speech|TUBBS|M
170||(pause, listens)|location||
171|TUBBS|"I don't know...we haven't worked
with him for six months..."|speech|TUBBS|M
172||(waits, then hears a click|location||
173||on his Nextel)|unknown||
174|CROCKETT|Hello?|speech|CROCKETT|F
175|FUJIMA (O.S.)|This is Agent James Fujima.|speech|FUJIMA|M
176|CROCKETT|Detective Crockett.|speech|CROCKETT|F
177|FUJIMA (O.S.)|What's your Miami PD badge number?|speech|FUJIMA|M
178|CROCKETT|4-4-7 Charlie 12-92.|speech|CROCKETT|F
179||(pause)|location||
180|FUJIMA (O.S.)|Okay.  What's up?|speech|FUJIMA|M
181|CROCKETT|"A C.I. we cut loose to your Joint
Interagency Task Force.  Name of
Alonzo Stevens.  Now, he's YOUR
informant.  Stevens, called us.  I
haven't spoken to him for six
months.
I do not know what case you have
him on.  I do not know what he is
talking about.  But whatever he is
doing for you, it sounds like it is
going bad.  Right now..."|speech|CROCKETT|F
182|FUJIMA|"How do I discuss operations over an
open line?"|speech|FUJIMA|M
183|CROCKETT|How do I know?|speech|CROCKETT|F
184||(beat)|location||
185|CROCKETT|"I got the call from Alonzo on an
open line.  That is the hand we
have been dealt at this moment, at
eleven-forty-seven o'clock Friday
night.  Okay?  I am trying to alert
you, here."|speech|CROCKETT|F
186||(beat)|location||
187|CROCKETT|"You know whether or not...you have
a thing goin' down.  I do not."|speech|CROCKETT|F
188||(beat)|location||
189|CROCKETT|"But we know this guy.  I think you
know this guy.  Normally, he is
cool.  Tonight he is distraught.
That is atypical.  That engenders
foreboding.  Do you understand the
meaning of the word ""foreboding""?
As in badness is happening to your
deal right fucking now?"|speech|CROCKETT|F
190||CUT TO:|unknown||
191||EXT. ABANDONED METAL SHED, INDIAN RIVER - WIDE - NIGHT|location||
192||"Nothing.  Rusting marine parts and corrugated metal fall into
weeds next on a channel of the Indian River.  It cuts through
inner-city Miami.  Distant noise.  But..."|stage direction||
193||INT. METAL SHED - ARYAN BROTHERS|location||
194||"in low light are strapping up.  Kevlar vests go over tattooed
arms and chests.  Glimpses of swastikas.  Handguns in
waistbands.  SMGs (Small Machine Guns) slung from shoulders
over white shirts, business-suit jackets.  Everybody wears
surgical gloves.  Shoes are industrial.
REAR SHOT:  TWO OF THE BROTHERS
are leaving.  One carries a very long rifle with a flash
suppressor.  It is a bolt action .50 caliber Burrows.
NEARBY ON THE RIVER
is a second Aryan Brother sniper team with an identical
weapon aimed at an empty lot a thousand yards away across the
Indian River..."|stage direction||
195||INT. METAL SHED|location||
196||Two Suburbans and an Escalade pull out...|stage direction||
197||CUT TO:|unknown||
198||EXT. INDIAN RIVER - EMPTY LOT|location||
199||"Caribbean freighters seized by US Customs rust at the bank.
MOVE IN.  Two Cadillacs are parked.  Waiting.  A door opens.
An interior light comes on.  MOVE CLOSER.  Two Russian
slickster types.  Patient.  One looks at a watch.  The other
triggers his cell phone.  A meeting is imminent."|stage direction||
200||MEANWHILE:|unknown||
201||INT. FBI OFFICE - RAC JAMES FUJIMA - NIGHT|location||
202||"Empty except for the FBI Agent in a sweatsuit carrying files,
as if he stopped by when Crockett's call came in.  He's on a
computer.  He picks up the phone..."|stage direction||
203|FUJIMA|"Guy's involved in a ""meet""..."|speech|FUJIMA|M
204|CROCKETT|"""Buy and walk""?  ""Buy and bust""?
""Reverse undercover""?  What?"|speech|CROCKETT|F
205|FUJIMA|"Meet and greet.  ""I flash you some
of mine, you flash me some of
yours?"""|speech|FUJIMA|M
206|CROCKETT|"And the deal goes down at another
place at another time."|speech|CROCKETT|F
207|FUJIMA|That's right.|speech|FUJIMA|M
208|CROCKETT|"...so there's no industrial-
strength HRT weapons team out there
tonight?"|speech|CROCKETT|F
209||"Crockett puts his Nextel on ""speaker"" so Tubbs can hear, too."|stage direction||
210|FUJIMA|"Correct.  Flash samples.  Flash
cash."|speech|FUJIMA|M
211||(into phone)|location||
212|TUBBS|"Haitian, Dominican, Russian,
Israeli?"|speech|TUBBS|M
213|FUJIMA|White supremacist types.|speech|FUJIMA|M
214||Crockett's impatient.|stage direction||
215|CROCKETT|"OMGs, Mongols, Nazi Low-Riders,
prison gangs?"|speech|CROCKETT|F
216|FUJIMA|NLR, we think.  I wanna know...|speech|FUJIMA|M
217||(sarcastic)|location||
218|TUBBS|Oh, good...|speech|TUBBS|M
219|FUJIMA|"...what else, what else did he
indicate to you?  I need to know
everything he said."|speech|FUJIMA|M
220|CROCKETT|"He is saying they had him from the
gate.  He is saying to my partner
and I and to his family ""goodbye.""
What does that tell you?"|speech|CROCKETT|F
221||CUT TO:|unknown||
222||INT. MIAMI-DADE P.D. CHOPPER - SWITEK + ZITO|location||
