|character|text|type
138||"UNDERWATER - JACQUES' FATHER
He is walking with difficulty at the bottom.  His bag is
full of sponges.  He seems to be having trouble breathing."|stage direction
139||EXT.  BOAT - JACQUES AND LOUIS|location
140||"JACQUES and LOUIS are pumping silently.  UNCLE LOUIS feels
obliged to answer JACQUES' question.
UNCLE LOUIS finally breaks the silence and explains:"|stage direction
141|UNCLE LOUIS|"Your mother didn't leave.  She went
back to America, that's all.  It's
her home.  She's allergic to this
Island.  She likes refrigerators and
machines that clean the floor... so
one day she left.  Woman are like
that, unpredictable, like the sea."|speech
142||"They haven't been paying attention to the bubbles gushing
at the surface.  The air hose is being pulled down in a
very worrisome way."|stage direction
143||(with a slight grin)|location
144|JACQUES|So where did you see mermaids?|speech
145||UNCLE LOUIS smiles.|stage direction
146|UNCLE LOUIS|In the bars in Athens!|speech
147||"Very pleased with himself, UNCLE LOUIS burst out laughing.
JACQUES shyly shrugs his shoulders.  The air hose is
suddenly yanked down.  JACQUES immediately sees all the
bubbles.  He is white as a sheet.
JACQUES rushes to the side of the boat and starts yelling
down at his father.  He grabs the life line and starts
pulling at it hysterically.  The air hose snaps and
starts flying around like some crazy snake.  JACQUES tries
to jump overboard.  UNCLE LOUIS catches hold of his foot
at the last second.  JACQUES is slapping the water with
his hands, trying to go down but UNCLE LOUIS won't let
him.  JACQUES is yelling desperately.  ENZO is now
standing on his rock, watching the scene, horrified.
The sea now looks as if it were boiling.
UNCLE LOUIS grabs hold of JACQUES and hugs him in his
arms.  Standing on his rock, ENZO is now crying
desperately."|stage direction
148||(screaming)|location
149|ENZO|Jacques!  Jacques!|speech
150||"The last air bubbles are now breaking on the surface; it
looks as if they will never stop."|stage direction
151||DISSOLVE TO:|unknown
152||EXT.  ITALIAN VILLAGE STREET - DAY|location
153||"The image is now in color.
A rocky pink cliff over looks the very bright sea which
fills the screen.
SUPERIMPOSED:  1987 SICILY
ALFREDO runs (skips) up the cobbled street as fast as he
can go, surprisingly fast.
He runs to the large terrace of a restaurant which he
enters.  We have time to read the sign carrying the
restaurant's name:  ""LA MAMMA""."|stage direction
154||INT.  RESTAURANT - DAY|location
155||"ALFREDO skips in.  He is panting, covered in sweat.  His
panic is palpable.  The whole room watches him approach a
long table where a large family is having a birthday party
for a very old lady.
He has to stop a second and catch his breath before he can
get the words out.  Then leans over and whispers in the
ear of a great big man -- around 30 -- built like a bull,
wearing little round glasses.
The man listens, then stiffens."|stage direction
156||EXT.  HARBOR - CONSTRUCTION SITE - DAY|location
157||"A beat-up FIAT, towing an equally beat-up trailer, stops.
ENZO unfolds out of the driver's seat, like a circus clown
emerging from a toy car.
The construction SUPERVISOR, an American, wearing a three
piece suit, hurries over to him.
ENZO has already started undressing.  ROBERTO unloads the
diving gear from the trailer."|stage direction
158||(exhausted)|location
159|SUPERVISOR|Signore Molinari?|speech
160||(shaking his hand)|location
161|ROBERTO|Yes.|speech
162||(calmly undressing,|location
163||expressionless)|unknown
164|ENZO|How did it happen?|speech
165||(upset)|location
166|SUPERVISOR|"The company asked me to extract
everything I could from the wreck;
so the divers were trying to get at
the engine... and then the boat
turned over... in the current...
and... look, I fucked up!  Can you
help?"|speech
167|ENZO|How many are, down there?|speech
168||ENZO goes back to the car.|stage direction
169|SUPERVISOR|"Just one... We're feeding him air,
but he's not breathing regularly...
You've got to get him out fast."|speech
170||ENZO glances at the map, then at the accident site.|stage direction
171||(a beat)|location
172|ENZO|Ten thousand.|speech
173|SUPERVISOR|Lira?|speech
174|ENZO|Dollars.|speech
175|SUPERVISOR|"You're going to hold me up at a time
like this?"|speech
176|ROBERTO|"You do understand you're talking to
the champion diver of the world?"|speech
177|SUPERVISOR|Yes, but ten thousand dollars...|speech
178||"ENZO opens the trunk of his FIAT and pulls out the jack.
He slams the trunk shut, and stands looking at the
American, straight in the eyes."|stage direction
179|ENZO|"Okay.  You tell me.  How much would
you say the man's life is worth?"|speech
180||Extremely uncomfortable, the SUPERVISOR doesn't answer.|stage direction
181|ENZO|"In my village, we have a saying:
when the wind blows, the flags of
all nations flap in the same
direction."|speech
182||(baffled)|location
183|SUPERVISOR|What does that mean?|speech
184|ROBERTO|"That you should get your checkbook.
Damn quick."|speech
185||EXT.  UNFINISHED PIER - ENZO|location
186||"He's at the end of the pier, his feet dangling in the
muddy water of the port.  A few feet away a pump sends air
HISSING through a rubber tube to the diver trapped below.
ENZO inhales steadily, his chest heaving like a bellow.
He carefully puts his spectacles inside his shoes, dons
his flippers, etc., with his usual flair of suspense.
Behind him the SUPERVISOR and other construction workers
watch expectantly.  ROBERTO heaves a stone weight into the
bay, a cable attached to it plays out from a drum on the
pier.
ENZO ignoring everyone, grabs the ordinary tire jack,
flip-flops over to the now taut cable, the stone has hit
bottom.  He takes a deep breath and dives into the bay.
UNDERWATER - WRECK
ENZO dives down a chimney of muck.  Picks his way over and
around every hazard, until he reaches the diver, trapped
under a huge piece of debris.
He pats his shoulder to comfort him, he then inserts the
tire jack under a piece of concrete... And, as if he were
changing a tire, begins to pump the handle...
Slowly, in a swirl of mud and water, the chunk of debris
rises off the diver's leg."|stage direction
187||EXT.  CONSTRUCTION SITE - DAY|location
188||"Everyone is staring at the water silently, suspensefully.
The SUPERVISOR has his checkbook in hand, but has
completely forgotten it, intent upon what's going on
underwater.  ROBERTO taps him on the shoulder."|stage direction
189|ROBERTO|"Since we have a little time, what do
you say you write that check?"|speech
190||"UNDERWATER - WRECK
ENZO cuts the cables tangled around the diver's torso.
Then he takes off his flippers, plants his bare feet on
the concrete, grabs the diver by the shoulders and pulls
him free.
The diver drops the air tube and climbs as quickly as
possible toward the surface."|stage direction
191||EXT.  CONSTRUCTION SITE - DAY|location
192||"The diver surfaces, gasping for breath.  A cheer goes up
from the crowd.  Several men hurry to pull him onto dry
land.  But there is no sign of ENZO.  Everyone waits,
breathless."|stage direction
193||(to the Supervisor)|location
194|ROBERTO|Sign here.|speech
195||"Suddenly, ENZO appears, burst out of the water, holding
his flippers up in the air like a trophy.  The onlookers
cheer, help him out of the water, slapping him on the
back.
ENZO tosses the jack and his flippers to ROBERTO.
Impassive and silent, he slips his arms into the prize
fighter's robe that ROBERTO holds out for him, walks
solemnly back to his car.
ROBERTO takes the check and walks over to the car.  ENZO
bends down into the car and opens the roof."|stage direction
196||(through the open|location
197||roof smiling)|unknown
198|SUPERVISOR|"Thanks, thanks a lot.  I mean that
too... You extortionist bastard!"|speech
199||"The car rushes off.  In the distance we see a police
(carabinieri) car and an old fire engine rolling in the
direction of the construction site.
INSIDE FIAT - DRIVING AWAY
ENZO'S car drives past them.  ENZO looks at ROBERTO out of
the corner of his eye, then suddenly explodes with joy."|stage direction
200|ENZO|"Dollars, Roberto!  We took him for
ten thousand dollars!"|speech
201||"ROBERTO whoops and whistles.  ENZO reaches over and leans
on the horn.  The little car races by and finally stops at
the top of the cliff facing the sea."|stage direction
202||EXT.  TOP OF CLIFF - DAY|location
203||"The two brothers sit back, relax.
Stare out to sea."|stage direction
204||(after a while)|location
205|ROBERTO|"Enzo, what are you going to do with
the money?"|speech
206|ENZO|Have the car painted.|speech
207|ROBERTO|Santini will do that for 25 dollars!|speech
208|ENZO|Then tell him to wax it too.|speech
209|ROBERTO|"Enzo, really.  What are you going to
get?"|speech
210||(thinking)|location
211|ENZO|"A rosary for Mama, a dress for
Angelica, something with rhine-
stones for what's her name, and get
yourself a suit that fits... But
most important..."|speech
212|ROBERTO|Yes?|speech
213|ENZO|Find the Frenchman.  Find me Mayol.|speech
214||EXT.  FLAKES OF SNOW - MOUNTAINS - DAY|location
215||"Mountain peaks, stark and white.  A winter sky which is
strangely and disquietingly dark.  A landscape swept by
snow.
SUPERIMPOSED ON SCREEN: PERU - LAKE HUACRACOCHA - MAY 1987
A yellow light comes out of the storm -- advances toward
us.  The headlight of a train.
A narrow gauge locomotive steams up grade pushing piles of
snow in front of it."|stage direction
216||INT.  TRAIN - DAY|location
217||"Sitting in the train, leaning against the misty window,
JOHANA CROSS, 27, has clear quick charm and a sort of
romantic fragility.  She is dressed simply but warmly.
She looks through the window; all she sees is white.
It is clear that she was not the one who decided on this
trip.  Reading the key phrases from a beat-up note book,
she calls upon an old Peruvian."|stage direction
218||(in Spanish)|location
219|JOHANA|"Is this the Lago del Demonio?
(Es bien aqui el Lago del Demonio)
... Huacracocha?"|speech
220||"The old man goes into a long, rambling explanation.
JOHANA nods without understanding a thing."|stage direction
221|JOHANA|Gracias.|speech
222|OLD MAN|You welcome.|speech
223||EXT.  TRAIN STATION - DAY|location
224||"The train pulls in, slowly pushing piles of snow in front
of it and finally stops in front of an old shack which
serves as the station.
A man, FRANK, bundled in a parka, comes out of a
snowmobile parked by the station, and walks up to the
train.
JOHANA steps down, carrying her suitcase and drops two
feet in the snow as she comes off the last step.  FRANK
walks over and leans down towards her."|stage direction
225||(smiling)|location
226|FRANK|Welcome to Peru!|speech
227||INT.  SNOWMOBILE - DAY|location
228||"FRANK throws the luggage into the back of the snowmobile,
jumps in and turns the ignition on.  JOHANA takes her hat,
scarf and gloves off.  FRANK glances over at her, he is
both amused and charmed."|stage direction
229|JOHANA|Don't you have a heater?|speech
230||(hitting at the|location
231||dashboard)|unknown
232|FRANK|"Yeah... Sure... Is this your first
trip to Peru?"|speech
233|JOHANA|Does anybody live to make a second?|speech
234||"FRANK smiles and kicks the heating system, then leans over
to check it, his eyes off the road."|stage direction
235||(a little worried)|location
236|JOHANA|Forget about the heater!|speech
237||EXT.  LAKE OF THE DEMON - CAMP - DAY|location
238||"The storm is at its peak.  The frozen snowmobile plows
along side the lake HUACRACOCHA and stops in front of a
cluster of quonset huts almost completely buried in snow.
FRANK gets the bags out of the back.  The suitcases are by
now frozen stiff.  JOHANA follows in his steps.
A couple of llamas are huddled up against the hut in
attempt to protect themselves from the storm.
JOHANA is bewildered.  Shacks in the middle of the Andes,
the lake of the ""Demon"", and now llama that have to be
pushed aside to enter one's home.
As FRANK opens the door, a man is leaving the hut.  The
man is JACQUES MAYOL.  JOHANA and JACQUES pass each other
in slow motion.  Everything seems suddenly suspended:
time, sound, cold...
JACQUES MAYOL instantly makes an impression on her.  He is
now 34, still dark-haired, with dark eyes.  He is wearing
a red diving suit and a pair of round goggles.  He looks
like some legendary creature one would dream about.
Everything finally regains its formal speed.  The door
slams, the man is gone.  She and FRANK are in the middle
of the entrance hall.  JOHANA hasn't yet gotten over the
vision she has just had, but she regains composure and
enters the next room."|stage direction
239||INT.  QUONSET HUT|location
240||"JOHANA happily takes her gloves off.
FRANK puts down the bags and walks into the next room.
It's a sort of laboratory, filled with ultra modern
equipment.
A big bay window overlooks the lake on which is built a
long wooden dock.
Sitting in a corner, an old Peruvian man is preparing hot
drinks.  JOHANA drops into a chair."|stage direction
241|FRANK|A drink to warm up?|speech
242|JOHANA|"Yes, thank you.  Intravenous if
possible."|speech
243||(pulling out a flask)|location
244|FRANK|Tea... or whiskey?|speech
245|JOHANA|"... both.  Did I just see a man in a
red suit and goggles?"|speech
246||FRANK smiles and pours some whiskey in her tea cup.|stage direction
247|FRANK|... right.|speech
248||(calling out)|location
249|FRANK|"Dr. Lawrence?  The insurance man...
uh... The insurance person is here!"|speech
250|LAWRENCE|It's about time!|speech
251||"FRANK smiles and pours JOHANA some tea.  She warms her
hands on the cup.  She asks blankly."|stage direction
252|JOHANA|"Would it be out of place to ask what
he's doing?"|speech
253|FRANK|Who?|speech
254|JOHANA|The guy in the Halloween suit!|speech
255||"LAWRENCE comes in from the other side of the room.
He walks straight over to the bay window."|stage direction
256|LAWRENCE|"Did you have a nice trip?  We were
getting restless, it's been three
weeks since the accident."|speech
257||"JOHANA walks over to the bay window and starts staring at
something in the distance."|stage direction
258||EXT.  DOCK - ON JACQUES|location
259||"At the end of the dock, JACQUES who is sitting on the edge
of a hole which is cut in the ice, is putting a pair of
gloves on.  He then grabs the handles of a strange machine
which emerges from the water and starts taking deep
breaths, oblivious to the cold, his mind completely
elsewhere.
BACK IN LAB
JOHANA watches JACQUES.  She just can't believe her eyes.
LAWRENCE is bent over one of his machines, fiddling with
different switches."|stage direction
260||(to Johana)|location
261|LAWRENCE|"You should get things moving, you
know.  We're out of equipment and we
can't do half of our experiments...!
Frank, check the program!"|speech
262||JOHANA is finally able to speak.|stage direction
263|JOHANA|Who... Who is that?|speech
264|LAWRENCE|Mayol... Jacques Mayol.|speech
265|JOHANA|"That's the experiment?  Dumping a
guy into a frozen lake?"|speech
266||LAWRENCE turns one last knob.|stage direction
267|LAWRENCE|"... The truck fell into a very deep
crevasse.  We weren't able to save
the equipment."|speech
268|JOHANA|I'll have to talk to the driver.|speech
269|LAWRENCE|In the spring when he melts!|speech
270||"JOHANA walks closer to the window.  She isn't hearing a
thing he's saying.
JACQUES is putting on his flippers.
JOHANA can't believe it.
JACQUES is standing by a hole cut in the ice.  He is
holding onto the machine in the water.  He is waving a
mask."|stage direction
271||(dumbfounded)|location
272|JOHANA|"You really send him under the ice?
He isn't a slave or a convict or
anything?"|speech
273|LAWRENCE|"My dear, science is a cruel
mistress."|speech
274|JOHANA|But... how is he going to breathe?|speech
275|LAWRENCE|He isn't going to breathe.|speech
276||"JACQUES takes a deep breath, turns a handle and a weight
yanks him straight down into the water.  LAWRENCE sets his
stop watch off and flips a few switches.
JOHANA grabs his arm as if they could do something about
it."|stage direction
277|LAWRENCE|Listen...|speech
278||"He raises the volume:  we hear the man's heartbeat through
a small speaker."|stage direction
279|LAWRENCE|That's his heartbeat.|speech
280||(excited)|location
281|LAWRENCE|"Can you hear the speed at which it's
slowing down, it's incredible."|speech
282||"LAWRENCE tears off the sheet with the heartbeat measures
on it and hands it to JOHANA.
JOHANA feels she's on the verge of crying, and can't
figure it out.
UNDERWATER - JACQUES
JACQUES stops his machine by turning one of the handles.
He's deep beneath the surface of the frozen lake.  He
swims deliberately, carefully into a large tube which is
hinged open.  He closes it around himself.  His heart is
still slowing down.  He pushes a button on the machine,
and a flash of light bursts in the opaque night
surrounding him.
BACK IN LAB - ON VIDEO SCREEN
We see a moving X-ray image."|stage direction
283|LAWRENCE|"He's in the fluoroscope now.  Listen
to his heart.  Impressive, huh?  The
flow of blood is concentrated in the
brain and doesn't even feed the
limbs anymore.  It's a phenomena that
has only been observed with
dolphins... until now."|speech
284|JOHANA|"How long can he stay down?  Without
breathing?"|speech
285|LAWRENCE|It depends.  He should come up soon.|speech
286||(smiling)|location
287|LAWRENCE|"Unless he's decided to stay for the
night."|speech
288|JOHANA|Why is he doing this?|speech
289|LAWRENCE|"For one thing, it's his job... as
for the rest of it, I wish I knew."|speech
290||"JOHANA sighs with relief as JACQUES appears at the surface
in one big breath."|stage direction
291|JOHANA|"Shouldn't somebody take him a
blanket or something?"|speech
292||(smiling at Frank)|location
293|LAWRENCE|Coffee might be nice.|speech
294||"She heads towards the Old Peruvian and pours a cup of
coffee..."|stage direction
295||(afterthought)|location
296|JOHANA|Will he understand Spanish?|speech
297|LAWRENCE|"His mother's an American.  He spent
half of his life in the states.  I'd
try English if I were you."|speech
298||EXT.  DOCK - JACQUES SURFACING|location
